#
 0,                  smart,50,  0.06,  0.01, *-----              |                   
 0,                  smart,40,  0.06,  0.04, * ---------         |                   
 0,                   dumb,50,  0.06,  0.02, *                   |                   
 0,                   dumb,30,  0.07,  0.03, *------             |                   
 0,                   dumb,40,  0.07,  0.03,  *                  |                   
 0,                  smart,20,  0.08,  0.15,  *     ---          |                   
#
 1,                   dumb,20,  0.09,  0.04, -* ----             |                   
#
 2,                  smart,30,  0.18,  0.16,       * --          |                   
#
 3,                 asIs,2736,  0.29,  0.11,  -------   * -------|-------            
