#
 0,                  smart,50,  0.29,  0.07,         ---  *  --- |                   
 0,                  smart,30,  0.31,  0.07,          ---  * --- |                   
#
 1,                  smart,40,  0.33,  0.08,            -   *  --|                   
 1,                   dumb,50,  0.33,  0.04,            --- * -- |                   
#
 2,                   dumb,40,  0.34,  0.07,            --   * --|                   
#
 3,                  smart,20,  0.36,  0.07,             ----  * |----               
 3,                   dumb,20,  0.36,  0.03,           ------- *-|-                  
#
 4,                   dumb,30,  0.39,  0.03,               ---- *|----               
#
 5,                asIs,65536,  0.44,  0.10,               ----- |  *  ----          
