#
 0,                  smart,50,  0.05,  0.02, -*--                |                   
#
 1,                  smart,40,  0.06,  0.06,  -* -               |                   
#
 2,                  smart,30,  0.09,  0.06,  - *---             |                   
#
 3,                   dumb,30,  0.11,  0.07,   --* ---           |                   
 3,                   dumb,40,  0.12,  0.03,    -*--             |                   
 3,                   dumb,50,  0.13,  0.08,  --  *-             |                   
 3,                  smart,20,  0.14,  0.07,  --- * ---          |                   
#
 4,                   dumb,20,  0.16,  0.06,     - *----         |                   
#
 5,                asIs,10000,  0.44,  0.16,          -----   *  |-----              
