#
 0,                  smart,40,  0.09,  0.04,  - *--              |                   
#
 1,                  smart,50,  0.12,  0.05,  -  *-              |                   
 1,                  smart,30,  0.13,  0.08,     * -----         |                   
#
 2,                   dumb,50,  0.14,  0.03,    - *-             |                   
#
 3,                   dumb,40,  0.16,  0.05,     -* --           |                   
 3,                   dumb,30,  0.18,  0.05,       *---          |                   
 3,                  smart,20,  0.18,  0.10,   --- *  --         |                   
#
 4,                   dumb,20,  0.21,  0.06,    --- *----        |                   
#
 5,                asIs,10000,  0.45,  0.15,          -----   *  |----               
