#
 0,                      LGBM, 0, -0.00,  0.41,        -- *--       |                   
 0,                        LR, 0,  0.04,  0.57,       --  * --      |                   
#
 1,                        k1, 0,  0.12,  0.43,            * ------ |                   
#
 2,                        k3, 0,  0.23,  0.63,             * ----- |                   
 2,                        k5, 0,  0.28,  0.68,             *  ---- |                   
#
 3,                  mid-leaf, 0,  0.36,  0.53,           --*  -----|                   
#
 4,                      asIs, 0,  0.44,  0.35,            - *------|                   
