#
 0,                        LR,  0.00,  0.00,               *     |                   
 0,                      LGBM,  0.00,  0.06,              -*     |                   
#
 1,                        k1,  0.25,  0.48,                 *---|-                  
 1,                        k3,  0.31,  0.51,               - * --|                   
 1,                        k5,  0.33,  0.48,               - * --|                   
#
 2,                  mid-leaf,  0.60,  0.43,                -  *-|--                 
#
 3,                      asIs,  0.68,  0.41,                -- *-|---                
