#
 0,                        LR, 0, -0.00,  0.11,                    -*                   
 0,                      LGBM, 0,  0.00,  0.02,                     *                   
#
 1,                        k1, 0,  0.02,  0.13,                     *---------------    
 1,                    k1-syn,30,  0.04,  0.24,                     |*--------------    
 1,                        k3, 0,  0.05,  0.21,                     |*----------        
#
 2,                    k3-syn,30,  0.08,  0.34,                     |* -----------      
 2,                        k5, 0,  0.09,  0.25,                     |*-----------       
#
 3,                    k5-syn,30,  0.14,  0.38,                     |* ----------       
#
 4,                  mid-leaf, 0,  0.31,  0.45,                     |  * ----------     
 4,              mid-leaf-syn,30,  0.33,  0.48,                     |- * -----------    
#
 5,                      asIs, 0,  0.62,  0.24,                     | ---*-------       
