#
 0,                      LGBM, 0,  0.02,  0.33,          ---- *-    |                   
 0,                        LR, 0,  0.04,  0.35,          ---  *-    |                   
#
 1,                        k1, 0,  0.39,  0.61,               - * --|-                  
#
 2,                    k1-syn,30,  0.46,  0.72,               - *  -|--                 
 2,                        k5, 0,  0.47,  0.66,               - *  -|-                  
 2,                        k3, 0,  0.48,  0.65,               - *  -|-                  
 2,                    k5-syn,30,  0.52,  0.72,               -  * -|-                  
 2,                      asIs, 0,  0.52,  0.72,               -  *  |--                 
 2,                    k3-syn,30,  0.52,  0.67,               -  * -|-                  
 2,                  mid-leaf, 0,  0.58,  0.75,               -  *  |--                 
 2,              mid-leaf-syn,30,  0.62,  0.88,               -  *  |---                
