#
 0,                   asIs,10, -0.27,  0.42,                 - * |----               
 0,                   asIs,30, -0.27,  0.42,                 - * |----               
 0,                   asIs,50, -0.27,  0.42,                 - * |----               
 0,                   asIs,sq, -0.27,  0.42,                 - * |----               
#
 1,               mid-leaf,10, -0.12,  0.62,              ----- *|-----              
 1,               mid-leaf,30, -0.12,  0.62,              ----- *|-----              
 1,               mid-leaf,50, -0.12,  0.62,              ----- *|-----              
 1,               mid-leaf,sq, -0.12,  0.62,              ----- *|-----              
#
 2,                        LR, -0.03,  0.69,                --- *|-----              
#
 3,                      LGBM, -0.01,  0.19,                  -- *-                  
 3,                     k1,10,  0.01,  0.23,                  ---*----               
 3,                     k1,30,  0.01,  0.23,                  ---*----               
 3,                     k1,50,  0.01,  0.23,                  ---*----               
 3,                     k1,sq,  0.01,  0.23,                  ---*----               
 3,                     k3,10,  0.01,  0.27,                 ----*----               
 3,                     k3,30,  0.01,  0.27,                 ----*----               
 3,                     k3,50,  0.01,  0.27,                 ----*----               
 3,                     k3,sq,  0.01,  0.27,                 ----*----               
 3,                     k5,10,  0.01,  0.32,                 ----*-----              
 3,                     k5,30,  0.01,  0.32,                 ----*-----              
 3,                     k5,50,  0.01,  0.32,                 ----*-----              
 3,                     k5,sq,  0.01,  0.32,                 ----*-----              
