#
 0,                        LR, -0.00,  0.47,              --  *--|                   
 0,                     k1,10,  0.00,  0.50,            ----  *--|---                
 0,                     k1,30,  0.00,  0.50,            ----  *--|---                
 0,                     k1,50,  0.00,  0.50,            ----  *--|---                
 0,                     k1,sq,  0.00,  0.50,            ----  *--|---                
 0,                     k3,10,  0.00,  0.65,            ---   * -|---                
 0,                     k3,30,  0.00,  0.65,            ---   * -|---                
 0,                     k3,50,  0.00,  0.65,            ---   * -|---                
 0,                     k3,sq,  0.00,  0.65,            ---   * -|---                
 0,                     k5,10,  0.00,  0.64,            ----  * -|---                
 0,                     k5,30,  0.00,  0.64,            ----  * -|---                
 0,                     k5,50,  0.00,  0.64,            ----  * -|---                
 0,                     k5,sq,  0.00,  0.64,            ----  * -|---                
 0,                      LGBM,  0.00,  0.36,              --- *--|                   
 0,               mid-leaf,10,  0.01,  0.94,          -----   *  |------             
 0,               mid-leaf,30,  0.01,  0.94,          -----   *  |------             
 0,               mid-leaf,50,  0.01,  0.94,          -----   *  |------             
 0,               mid-leaf,sq,  0.01,  0.94,          -----   *  |------             
 0,                   asIs,10,  0.02,  1.00,           ---    *  |----               
 0,                   asIs,30,  0.02,  1.00,           ---    *  |----               
 0,                   asIs,50,  0.02,  1.00,           ---    *  |----               
 0,                   asIs,sq,  0.02,  1.00,           ---    *  |----               
