#
 0,               mid-leaf,RS, -0.00,  1.17,                ---- |  *  ----          
 0,                   LGBM,RS,  0.01,  1.21,                ---- |  *  ----          
 0,                     k3,RS, -0.01,  0.38,                     |- *---             
 0,                     k1,RS,  0.02,  0.64,                    -|  * ---            
 0,                     k5,GS, -0.02,  0.44,                     |- *--              
 0,                     k1,GS,  0.02,  0.61,                    -|  * ---            
 0,                   asIs,GS,  0.03,  1.30,                 --- |  *   ----         
 0,                     k5,RS, -0.03,  0.43,                     |- *---             
 0,                     k3,GS,  0.05,  0.43,                     |- *--              
 0,                     LR,RS,  0.07,  0.35,                     |- *-               
 0,                   LGBM,GS, -0.09,  1.04,                 --- | *  ----           
 0,               mid-leaf,GS, -0.11,  1.21,                ---- | *   ----          
 0,                     LR,GS,  0.12,  0.25,                     |-- *               
 0,                   asIs,RS, -0.22,  1.11,               ----  | *  ----           
