#
 0,                     k1,RS,  0.00,  0.22,                     |        -*-        
 0,                     k3,RS, -0.01,  0.35,                     |        -*-        
 0,                     k5,RS, -0.01,  0.38,                     |        -*-        
 0,                     k1,GS, -0.04,  0.37,                     |        -*         
 0,                     LR,RS, -0.05,  0.50,                     |       --*         
 0,                     k3,GS, -0.06,  0.42,                     |        -*         
 0,                     k5,GS, -0.07,  0.43,                     |        -*         
 0,                     LR,GS, -0.15,  0.83,                     |        -*         
 0,               mid-leaf,RS, -0.18,  0.50,                     |        -*-        
 0,                   asIs,RS, -0.21,  0.66,                     |        -*         
 0,                   LGBM,RS, -0.26,  0.55,                     |        -*-        
 0,                   asIs,GS, -0.37,  0.62,                     |         *         
 0,                   LGBM,GS, -0.54,  0.35,                     |         *         
 0,               mid-leaf,GS, -0.65,  0.55,                     |        *-         
