#
 0,                     k1,RS,  0.00,  0.50,                     |       --*-        
 0,                   LGBM,RS,  0.00,  1.23,                     |      -- *-        
 0,               mid-leaf,RS,  0.01,  1.04,                     |       - *-        
 0,                     LR,RS, -0.03,  0.56,                     |       --*-        
 0,               mid-leaf,GS, -0.04,  1.31,                     |      -- *--       
 0,                     k1,GS,  0.05,  0.57,                     |        - *-       
 0,                     k3,RS,  0.06,  0.64,                     |        - *        
 0,                   LGBM,GS, -0.09,  1.19,                     |       - *-        
 0,                   asIs,GS, -0.09,  1.31,                     |      -- *         
#
 1,                     k5,RS,  0.10,  0.61,                     |        - *        
 1,                   asIs,RS,  0.12,  0.85,                     |       -- *-       
 1,                     LR,GS,  0.13,  0.50,                     |          *        
 1,                     k3,GS,  0.14,  0.53,                     |        - *        
 1,                     k5,GS,  0.15,  0.54,                     |        - *        
