#
 0,                     DS,k1,  0.00,  0.19,                     |   --*-            
 0,                    non,k1,  0.00,  0.15,                     |   --*             
 0,                     RS,k3,  0.00,  0.38,                     |   - *             
 0,                   non,SVR, -0.00,  0.22,                     |   --*-            
 0,                     RS,k1,  0.00,  0.23,                     |   --*             
 0,                    non,k3,  0.00,  0.25,                     |   --*             
 0,                     RS,k5, -0.00,  0.39,                     |   - *             
 0,                    non,k5,  0.00,  0.37,                     |    -*             
 0,                    RS,SVR, -0.01,  0.19,                     |   --*             
 0,                  non,LGBM, -0.01,  0.27,                     |     *             
 0,                     DS,k3, -0.01,  0.36,                     |   - *             
 0,                    non,LR, -0.01,  0.77,                     |   - *             
 0,                    non,RR, -0.01,  0.77,                     |   - *             
 0,                   non,LSR, -0.01,  0.77,                     |   - *             
 0,                     DS,k5, -0.01,  0.35,                     |   - *             
 0,                     RS,RR,  0.03,  0.67,                     |   - *             
 0,                    RS,LSR,  0.03,  0.67,                     |   - *             
 0,                     RS,LR,  0.03,  0.67,                     |   - *             
 0,                    DS,SVR, -0.04,  0.12,                     |   --*             
 0,                    DS,LSR, -0.05,  0.75,                     |   - *             
 0,                     DS,RR, -0.05,  0.75,                     |   - *             
 0,                     DS,LR, -0.05,  0.75,                     |   - *             
 0,              non,mid-leaf, -0.07,  0.70,                     |   - *-            
 0,                  non,asIs, -0.13,  0.63,                     |   -*--            
 0,                   DS,asIs, -0.28,  0.46,                     |   -*-             
 0,                   RS,LGBM, -0.36,  0.63,                     |   -*-             
 0,               RS,mid-leaf, -0.38,  0.91,                     |  - *-             
 0,                   DS,LGBM, -0.43,  0.44,                     |   -*-             
 0,               DS,mid-leaf, -0.46,  0.55,                     |   -*-             
 0,                   RS,asIs, -0.52,  1.15,                     |  - *-             
