#
 0,                     DS,k1, -0.00,  0.18,                     |*                  
 0,                     RS,k5,  0.00,  0.44,                     |*                  
 0,                    non,k1,  0.00,  0.19,                     |*                  
 0,                    non,k3,  0.00,  0.23,                     |*                  
 0,                     RS,k3,  0.00,  0.38,                     |*                  
 0,                    non,k5,  0.00,  0.31,                     |*                  
 0,                     RS,k1,  0.00,  0.20,                     |*                  
 0,                   non,SVR, -0.00,  0.16,                     |*                  
 0,                  non,LGBM, -0.00,  0.24,                     |*                  
 0,                     DS,k3, -0.01,  0.35,                     |*                  
 0,                     DS,k5, -0.01,  0.34,                     |*                  
 0,                    DS,SVR, -0.02,  0.13,                     |*                  
#
 1,                    RS,SVR,  0.03,  0.47,                     |*                  
 1,                     RS,RR, -0.04,  0.93,                     |*                  
 1,                    RS,LSR, -0.04,  0.93,                     |*                  
 1,                     RS,LR, -0.04,  0.93,                     |*                  
 1,                  non,asIs, -0.04,  0.52,                     |*                  
 1,                   non,LSR, -0.06,  0.71,                     |*                  
 1,                    non,RR, -0.06,  0.71,                     |*                  
 1,                    non,LR, -0.06,  0.71,                     |*                  
 1,                     DS,RR, -0.11,  0.79,                     |*                  
 1,                    DS,LSR, -0.11,  0.79,                     |*                  
 1,                     DS,LR, -0.11,  0.79,                     |*                  
 1,               RS,mid-leaf, -0.13,  0.66,                     |*                  
 1,                   RS,asIs, -0.18,  0.59,                     |*                  
 1,              non,mid-leaf, -0.24,  0.92,                     |*                  
 1,                   RS,LGBM, -0.27,  0.79,                     |*                  
 1,                   DS,LGBM, -0.47,  0.35,                     |*                  
 1,                   DS,asIs, -0.51,  0.55,                     |*                  
 1,               DS,mid-leaf, -0.55,  0.54,                     *-                  
