#
 0,                    non,k1,  0.00,  1.09,             ----   *|---                
 0,                     RS,k1,  0.00,  0.75,               ---- *|---                
 0,                     DS,k1,  0.00,  1.03,               --   *|---                
 0,                   DS,LGBM,  0.00,  1.04,                -   *|----               
 0,                  non,LGBM, -0.00,  0.39,                  - *|-                  
 0,                     RS,LR, -0.01,  0.81,                --- *|--                 
 0,                    non,LR, -0.02,  0.58,                 -- *|-                  
 0,                     RS,RR, -0.05,  1.09,               ---  *|---                
 0,                    non,RR, -0.06,  0.82,                 -- *|--                 
 0,                    non,k3, -0.06,  0.90,              ----  *|---                
 0,                     RS,k3, -0.08,  0.82,                --  *|---                
 0,                   non,SVR, -0.09,  0.77,               ---  *|---                
 0,                    non,k5, -0.09,  0.84,              ----  *|---                
 0,              non,mid-leaf, -0.12,  1.18,               --   *|---                
 0,                   non,LSR, -0.15,  1.01,                --  *|----               
 0,                     RS,k5, -0.15,  0.87,                --  *|---                
 0,               DS,mid-leaf, -0.16,  1.24,               -    *|----               
 0,                     DS,k3, -0.17,  0.97,                --  *|--                 
 0,                     DS,k5, -0.17,  0.90,                --  *|--                 
 0,                    DS,SVR, -0.20,  1.12,                -  * |---                
 0,                     DS,LR, -0.22,  0.71,                -- * |-                  
 0,                     DS,RR, -0.30,  0.90,               --  * |-                  
 0,                  non,asIs, -0.31,  1.24,                -  * |----               
 0,                    DS,LSR, -0.32,  1.00,               --  * |--                 
 0,               RS,mid-leaf, -0.34,  1.24,                -  * |-----              
 0,                    RS,LSR, -0.35,  1.27,               --  * |----               
 0,                    RS,SVR, -0.39,  1.29,               --  * |----               
 0,                 kmeans,k1,  0.00,  0.09,             -------*|-----              
 0,                 kmeans,k3,  0.00,  0.32,              ----- *|-----              
 0,                 kmeans,k5,  0.00,  0.41,               ---- *|----               
 0,           kmeans,mid-leaf, -0.12,  0.99,               --- * | --                
#
 1,                   DS,asIs,  0.41,  0.94,                 -   |*----              
 1,                   RS,LGBM, -0.52,  1.31,                - *  |----               
 1,                   RS,asIs, -0.53,  1.19,                  * -|---                
