#
 0,                    non,k1,  0.00,  0.11,                ----*|                   
 0,                     RS,k1, -0.00,  0.13,                 ---*|                   
 0,                   non,SVR, -0.00,  0.21,                 ---*|                   
 0,                  non,LGBM,  0.00,  0.07,                   -*|                   
 0,                    non,k3, -0.00,  0.14,                --- *|                   
 0,                    non,k5, -0.00,  0.14,                ----*|                   
 0,                     RS,k3, -0.01,  0.16,                 ---*|                   
 0,                     RS,k5, -0.01,  0.21,                 -- *|                   
 0,              non,mid-leaf, -0.02,  0.48,                 -- *|                   
 0,                    RS,SVR, -0.03,  0.13,                 -- *|                   
 0,                    GS,SVR, -0.03,  0.15,                 -- *|                   
 0,                     GS,LR,  0.03,  0.76,                 -- *|                   
 0,                    GS,LSR,  0.03,  0.76,                 -- *|                   
 0,                     GS,RR,  0.03,  0.76,                 -- *|                   
 0,                     GS,k3, -0.04,  0.29,                --- *|                   
 0,                   non,LSR,  0.04,  0.73,                --- *|                   
 0,                    non,RR,  0.04,  0.73,                --- *|                   
 0,                    non,LR,  0.04,  0.73,                --- *|                   
 0,                     GS,k1, -0.05,  0.28,                --- *|                   
 0,                     GS,k5, -0.05,  0.37,                --- *|                   
 0,               RS,mid-leaf, -0.09,  0.70,                 - *-|                   
#
 1,                     RS,LR,  0.10,  0.74,                --- *|                   
 1,                    RS,LSR,  0.10,  0.74,                --- *|                   
 1,                     RS,RR,  0.10,  0.74,                --- *|                   
 1,                  non,asIs, -0.10,  0.67,                  -*-|                   
 1,                   RS,LGBM, -0.27,  0.62,                 --* |                   
 1,                   RS,asIs, -0.33,  0.77,                 - *-|                   
 1,                   GS,LGBM, -0.44,  0.49,                 - *-|                   
 1,                   GS,asIs, -0.77,  0.90,                 -* -|                   
 1,               GS,mid-leaf, -0.95,  1.00,               --* --|                   
