"non,asIs",0.08
"RS,asIs",1.03
"RS,mid-leaf",1.28
"RS,k1",2.3
"RS,k3",2.42
"RS,k5",2.55
"RS,SVR",2.97
"RS,RR",3.09
"RS,LR",3.13
"RS,LSR",3.17
"DS,asIs",3.38
"DS,mid-leaf",3.6
"RS,LGBM",4.09
"DS,k1",4.63
"DS,k3",4.75
"DS,k5",4.89
"DS,SVR",5.33
"DS,RR",5.45
"DS,LR",5.48
"DS,LSR",5.51
"non,mid-leaf",5.93
"DS,LGBM",6.42
"non,k1",7.57
"non,k3",7.67
"non,RR",7.79
"non,k5",7.8
"non,LR",7.87
"non,LSR",7.88
"non,SVR",8.84
"non,LGBM",16.63
"kmeans,mid-leaf",20.95
"kmeans,k1",21.61
"kmeans,k3",21.67
"kmeans,k5",21.77
