"non,asIs",0.5
"RS,asIs",37.1
"RS,mid-leaf",38.9
"RS,RR",39.48
"RS,LSR",39.52
"RS,LR",39.57
"RS,SVR",40.21
"RS,LGBM",42.14
"RS,k1",77.64
"RS,k3",80.95
"RS,k5",84.52
"DS,asIs",97.36
"DS,mid-leaf",98.96
"DS,RR",99.55
"DS,LSR",99.58
"DS,LR",99.66
"DS,SVR",100.29
"DS,LGBM",102.44
"DS,k1",131.54
"DS,k3",134.83
"DS,k5",138.4
"non,mid-leaf",266.17
"non,RR",267.01
"non,LSR",267.11
"non,LR",267.15
"non,LGBM",301.35
"non,k1",323.33
"non,k3",326.38
"non,k5",329.86
"non,SVR",456.9
