#
 0,                  non,LGBM,  0.00,  0.32,                     |    --*            
 0,                   non,SVR,  0.00,  0.62,                     |    - *-           
 0,                   RS,asIs,  0.02,  0.83,                     |    - *-           
 0,                     DS,k1,  0.04,  0.68,                     |    - *-           
 0,                    RS,SVR,  0.05,  0.70,                     |    - *--          
 0,                   RS,LGBM, -0.06,  0.86,                     |    - *--          
 0,                    non,LR,  0.06,  0.87,                     |    - *-           
 0,                    non,RR,  0.06,  0.87,                     |    - *-           
 0,                   non,LSR,  0.06,  0.87,                     |    - *-           
 0,                     DS,k3,  0.07,  0.70,                     |    - *-           
 0,               RS,mid-leaf, -0.08,  0.77,                     |   -- *-           
 0,                     DS,k5,  0.08,  0.66,                     |    - *-           
 0,                     DS,LR,  0.09,  0.69,                     |    - *            
 0,                    DS,LSR,  0.09,  0.69,                     |    - *            
 0,                     DS,RR,  0.09,  0.69,                     |    - *            
 0,                    DS,SVR, -0.10,  0.53,                     |    - *            
 0,                     RS,k3,  0.13,  0.85,                     |    - *--          
#
 1,                     RS,k1,  0.15,  0.74,                     |    --*--          
 1,                     RS,k5,  0.15,  0.81,                     |    - *-           
 1,                  non,asIs, -0.15,  0.97,                     |   -- *-           
 1,                    non,k1, -0.15,  1.36,                     |----  *-           
 1,                     RS,RR,  0.19,  0.87,                     |    - *-           
 1,                    RS,LSR,  0.19,  0.87,                     |    - *-           
 1,                     RS,LR,  0.19,  0.87,                     |    - *-           
 1,                   DS,asIs, -0.20,  0.98,                     |   --*--           
 1,                   DS,LGBM, -0.28,  0.54,                     |    -*-            
 1,                    non,k3, -0.28,  1.47,                     | --  *--           
 1,                    non,k5, -0.31,  1.52,                     | --  *--           
 1,               DS,mid-leaf, -0.34,  0.65,                     |   --*-            
 1,              non,mid-leaf, -0.67,  1.55,                     | --  *--           
