#
 0,                     DS,k1, -0.01,  0.83,                  -- *--                 
 0,                  non,asIs,  0.01,  0.90,                   - *---                
 0,                    DS,SVR,  0.02,  0.87,                     * --                
 0,                    RS,LSR, -0.02,  0.64,                   - *-                  
 0,                     RS,LR, -0.02,  0.65,                   - *-                  
 0,                     RS,RR, -0.02,  0.65,                   - *-                  
 0,                     RS,k3,  0.02,  0.68,                   - *--                 
 0,                    RS,SVR,  0.02,  0.94,                   - * --                
 0,                   non,SVR, -0.03,  0.69,                    -*--                 
 0,                   DS,LGBM, -0.04,  0.41,                    -*-                  
 0,                     RS,k1,  0.05,  0.85,                  ---* -                 
 0,                  non,LGBM, -0.05,  0.30,                    -*                   
 0,                     RS,k5, -0.06,  0.70,                   - *--                 
 0,                   RS,LGBM, -0.08,  0.56,                   - *-                  
 0,                    non,LR, -0.08,  0.47,                     *-                  
 0,                    non,RR, -0.08,  0.47,                     *-                  
 0,                     DS,LR, -0.08,  0.47,                    -*-                  
 0,                     DS,RR, -0.08,  0.47,                    -*-                  
 0,                   non,LSR, -0.08,  0.47,                     *-                  
 0,                    DS,LSR, -0.08,  0.47,                    -*-                  
 0,                    non,k1, -0.13,  1.01,                 --- *--                 
 0,                     DS,k3, -0.14,  0.78,                   - *--                 
 0,                   RS,asIs, -0.14,  0.85,                   - *--                 
 0,                     DS,k5, -0.16,  0.80,                   - *--                 
 0,                    non,k3, -0.17,  0.89,                  -- *--                 
 0,               RS,mid-leaf, -0.17,  0.79,                   - *--                 
 0,                    non,k5, -0.19,  0.85,                  -- *--                 
 0,               DS,mid-leaf, -0.21,  0.92,                  -- *--                 
 0,              non,mid-leaf, -0.31,  0.99,                  -  *--                 
 0,                   DS,asIs, -0.70,  0.99,                  - *|-                  
