#
 0,                 kmeans,k1, -0.00,  0.31,                 --- *--                 
 0,                   non,SVR, -0.00,  0.00,                     *                   
 0,                  non,LGBM, -0.00,  0.00,                     *                   
 0,                    RS,LSR, -0.00,  0.23,                   - *-                  
 0,                     RS,LR,  0.00,  0.23,                   - *-                  
 0,                     RS,RR,  0.00,  0.23,                   - *-                  
 0,                     DS,k1,  0.00,  0.29,                 ----*----               
 0,                     DS,LR, -0.00,  0.21,                   - *-                  
 0,                     DS,RR, -0.00,  0.21,                   - *-                  
 0,                    DS,LSR, -0.00,  0.20,                   - *-                  
 0,                   RS,LGBM,  0.01,  1.61,              -      *   ------          
 0,                    non,LR,  0.01,  0.15,                   --*-                  
 0,                    non,RR,  0.01,  0.15,                   --*-                  
 0,                   non,LSR,  0.01,  0.15,                   --*-                  
 0,                     DS,k3,  0.01,  0.55,                 --  * --                
 0,                    RS,SVR, -0.01,  0.48,                  -- * ----              
 0,                     DS,k5, -0.02,  0.60,                ---  * ---               
 0,               RS,mid-leaf, -0.02,  1.30,               --    *  ------           
 0,                    DS,SVR, -0.03,  0.42,                  -- *---                
#
 1,                     RS,k1,  0.05,  0.37,                   --* -------           
 1,                 kmeans,k3, -0.05,  0.40,                ---  *--                 
#
 2,                     RS,k5,  0.06,  0.48,                  -- * ------            
 2,                     RS,k3,  0.07,  0.43,                  -- * ------            
 2,                   DS,LGBM, -0.07,  1.54,             --      *  -----            
 2,               DS,mid-leaf, -0.13,  1.25,            ----    *|  ----             
 2,                 kmeans,k5, -0.13,  0.45,                 -- *|---                
 2,                   DS,asIs, -0.19,  1.25,           ------   *|   -----           
 2,                    non,k1, -0.21,  1.12,       -------      *|-                  
 2,                  non,asIs, -0.27,  1.55,             -     * | ------            
#
 3,                   RS,asIs,  0.29,  1.38,               ---   | *  -----          
 3,                    non,k3, -0.31,  1.10,       -------     * |-                  
 3,                    non,k5, -0.41,  1.11,       -------     * |-                  
 3,              non,mid-leaf, -0.81,  1.21,      -------   *   -|-                  
