"non,asIs",0.09
"RS,asIs",1.04
"RS,mid-leaf",1.29
"RS,k1",2.33
"RS,k3",2.45
"RS,k5",2.58
"RS,SVR",2.97
"RS,RR",3.13
"RS,LSR",3.16
"RS,LR",3.17
"DS,asIs",3.28
"DS,mid-leaf",3.51
"RS,LGBM",4.18
"DS,k1",4.54
"DS,k3",4.66
"DS,k5",4.79
"DS,SVR",5.22
"DS,RR",5.3
"DS,LR",5.33
"DS,LSR",5.41
"non,mid-leaf",5.94
"DS,LGBM",6.51
"non,k1",7.47
"non,k3",7.52
"non,k5",7.64
"non,RR",7.75
"non,LR",7.83
"non,LSR",7.86
"non,SVR",8.78
"kmeans,k1",11.34
"kmeans,k3",11.46
"kmeans,k5",11.59
"non,LGBM",17.51
