"non,asIs",0.11
"RS,asIs",1.43
"RS,mid-leaf",1.7
"RS,SVR",3.09
"RS,RR",3.18
"RS,LR",3.22
"RS,LSR",3.24
"RS,k1",3.24
"RS,k3",3.41
"RS,k5",3.61
"RS,LGBM",3.62
"DS,asIs",5.34
"DS,mid-leaf",5.58
"DS,SVR",6.98
"DS,RR",7.07
"DS,LR",7.13
"DS,LSR",7.13
"DS,k1",7.13
"DS,k3",7.3
"DS,LGBM",7.39
"DS,k5",7.49
"non,mid-leaf",8.63
"non,RR",10.13
"non,LSR",10.19
"non,LR",10.21
"non,SVR",10.91
"non,k1",11.33
"non,k3",11.41
"non,k5",11.59
"non,LGBM",15.76
"kmeans,k1",19.16
"kmeans,k3",19.34
"kmeans,k5",19.54
