"non,asIs",0.11
"RS,asIs",1.44
"RS,mid-leaf",1.72
"RS,SVR",3.12
"RS,RR",3.21
"RS,k1",3.24
"RS,LR",3.26
"RS,LSR",3.27
"RS,k3",3.41
"RS,k5",3.59
"RS,LGBM",3.62
"DS,asIs",5.26
"DS,mid-leaf",5.5
"DS,SVR",6.88
"DS,RR",6.98
"DS,k1",7.02
"DS,LR",7.03
"DS,LSR",7.04
"DS,LGBM",7.11
"DS,k3",7.2
"DS,k5",7.38
"non,mid-leaf",8.63
"non,RR",10.15
"non,LSR",10.2
"non,LR",10.24
"non,SVR",10.91
"non,k1",11.44
"non,k3",11.53
"non,k5",11.71
"non,LGBM",15.28
"kmeans,k1",19.0
"kmeans,k3",19.18
"kmeans,k5",19.37
