name,"""non-asIs""","""RS-asIs""","""RS-mid-leaf""","""RS-k1""","""RS-k3""","""RS-SVR""","""RS-RR""","""RS-LR""","""RS-k5""","""RS-LSR""","""DS-asIs""","""DS-mid-leaf""","""RS-LGBM""","""DS-k1""","""DS-k3""","""DS-SVR""","""DS-LR""","""DS-RR""","""DS-LSR""","""DS-k5""","""non-mid-leaf""","""DS-LGBM""","""non-RR""","""non-k1""","""non-LR""","""non-k3""","""non-LSR""","""non-k5""","""non-SVR""","""kmeans-k1""","""kmeans-k3""","""kmeans-k5""","""non-LGBM"""
Apache_AllMeasurements.csv,0.07,0.94,1.14,2.1,2.2,2.21,2.23,2.25,2.32,2.34,2.79,3.0,3.15,3.96,4.06,4.07,4.12,4.12,4.16,4.17,5.05,5.07,6.18,6.18,6.24,6.25,6.27,6.34,6.76,10.59,10.69,10.8,12.45
auto93.csv,0.31,4.14,4.58,8.81,9.26,9.12,9.2,9.12,9.75,9.44,12.04,12.43,9.82,16.74,17.19,16.97,16.98,17.05,17.27,17.69,25.34,17.12,30.31,31.18,30.31,31.43,30.7,31.93,58.31,23.77,24.26,24.81,59.66
HSMGP_num.csv,1.08,89.38,94.46,185.38,193.73,97.99,95.94,96.08,202.58,96.25,254.05,259.03,439.82,348.69,357.04,262.62,260.69,260.56,260.88,366.14,590.93,553.33,593.0,724.31,596.73,730.06,597.34,737.38,1048.15,72.27,79.61,87.59,2162.96
nasa93dem.csv,0.23,1.77,2.07,2.97,3.14,12.24,11.89,10.95,3.3,14.78,4.35,4.65,11.63,5.57,5.74,15.09,13.81,14.77,18.46,5.9,8.34,15.1,20.13,11.04,19.62,11.18,29.44,11.38,21.51,36.56,36.76,36.97,47.92
pom3a.csv,9.12,692.67,707.74,1191.76,1236.38,730.69,706.29,706.14,1284.68,706.25,1303.69,1317.83,4501.2,1768.16,1812.29,1343.89,1316.25,1316.34,1316.39,1860.27,4370.51,5318.71,4371.74,4920.25,4373.81,4952.69,4564.52,4999.25,43250.68,215.55,261.05,309.48,22334.8
pom3b.csv,8.4,672.8,687.28,1163.58,1208.07,713.09,685.41,685.35,1256.39,685.5,1253.38,1267.39,3861.62,1703.9,1746.81,1294.91,1265.66,1265.71,1265.79,1793.1,3917.46,4415.77,3919.13,4414.22,3921.44,4442.33,4102.13,4484.58,50618.99,196.01,236.71,280.21,19710.71
pom3c.csv,5.72,425.32,433.09,717.95,744.79,446.64,432.39,432.35,773.52,432.44,805.52,813.15,462.21,1094.26,1121.65,828.21,812.39,812.44,812.45,1151.31,2473.49,844.01,2475.94,2792.71,2476.49,2811.38,2477.25,2838.53,27327.89,124.68,151.31,179.22,2725.25
pom3d.csv,0.39,7.73,8.6,18.85,19.9,12.56,12.7,12.74,20.99,12.78,28.36,29.19,14.01,39.38,40.41,33.13,33.35,33.3,33.38,41.49,55.78,33.71,60.14,68.08,60.26,68.91,60.22,70.05,107.91,45.25,46.34,47.52,132.63
rs-6d-c3_obj1.csv,1.12,82.39,86.58,171.43,178.85,89.06,87.44,87.56,186.85,87.51,220.96,224.82,482.29,300.32,308.14,227.38,225.78,225.68,225.72,316.37,543.84,580.2,544.76,664.43,545.38,669.77,544.82,677.12,891.51,63.37,70.26,77.65,2183.85
rs-6d-c3_obj2.csv,0.66,39.01,40.81,82.19,85.69,42.22,41.43,41.51,89.43,41.45,105.09,106.82,52.03,142.42,146.0,108.24,107.54,107.43,107.47,149.87,291.39,129.63,292.22,356.87,292.34,359.44,292.32,363.1,544.63,33.42,37.01,40.88,394.48
