#
 0,               kmeans-3,k1,  0.03,  0.12, *-------------------|--                 
 0,               kmeans-1,k1,  0.03,  0.12, *-------------------|-------            
 0,               kmeans-5,k1,  0.03,  0.17, * ------------------|--------           
#
 1,               kmeans-5,k3,  0.05,  0.20, *  -------------    |                   
#
 2,               kmeans-3,k3,  0.07,  0.31, *   -------------   |                   
#
 3,               kmeans-5,k5,  0.22,  0.35,    *  -------       |                   
#
 4,                  non,asIs,  0.76,  0.54,    ---    *   ------|-----              
