#
 0,                  non,asIs,  0.71,  0.50,   ----   *   -------|                   
 0,               kmeans-5,k1,  0.75,  0.56,   ----    *   ------|--                 
 0,               kmeans-3,k3,  0.76,  0.59,    ----   *    -----|-                  
#
 1,               kmeans-3,k1,  0.78,  0.49,   -----   *   ------|--                 
 1,               kmeans-5,k5,  0.79,  0.57,   -----   *    -----|---                
 1,               kmeans-1,k1,  0.79,  0.54,    ----    *   -----|--                 
 1,               kmeans-5,k3,  0.83,  0.62,   -----    *   -----|---                


