#
 0,               kmeans-3,k1,  0.06,  0.11, - *  ---------      |                   
 0,               kmeans-3,k3,  0.06,  0.09, - *  -----          |                   
#
 1,               kmeans-1,k1,  0.07,  0.14, -  *  ----------    |                   
 1,               kmeans-5,k3,  0.08,  0.12, -  *  -------       |                   
 1,               kmeans-5,k1,  0.08,  0.15, -  *   --------     |                   
 1,               kmeans-5,k5,  0.09,  0.10, -  * ------         |                   
#
 2,                  non,asIs,  0.26,  0.20,  ----     *   ----  |                   

