 ++ Standard Residual without abs:
#
 0,               kmeans-5,k3, -0.26,  1.54,      ---    *       |-----              
 0,               kmeans-3,k1, -0.35,  1.33,      ---   *       -|------             
 0,               kmeans-5,k1, -0.39,  1.50,      ---   *        |-------            
 0,               kmeans-5,k5, -0.41,  1.30,      ---   *       -|-----              
 0,                  non,asIs, -0.41,  1.40,      ---  *        -|------             
 0,               kmeans-1,k1, -0.44,  1.26,     ----  *       --|-----              
 0,               kmeans-3,k3, -0.44,  0.91,      ---  *    -----|-----              


 ++ Standard Residual with abs:
#
 0,               kmeans-5,k3,  0.79,  0.60,   ----    *   ------|                   
 0,               kmeans-5,k1,  0.82,  0.47,    ----   *  -----  |                   
 0,               kmeans-3,k3,  0.82,  0.56,   -----   *   ------|                   
 0,                  non,asIs,  0.83,  0.51,    ----   *   ------|                   
 0,               kmeans-5,k5,  0.83,  0.55,    ----   *   ------|                   
 0,               kmeans-3,k1,  0.84,  0.53,   -----   *   ------|                   
 0,               kmeans-1,k1,  0.89,  0.54,    ----    *  ------|                   


 ++ d2h differences:
#
 0,               kmeans-5,k1,  0.10,  0.12, --  *  -------------|-                  
 0,               kmeans-1,k1,  0.10,  0.13, --  *   ------------|--                 
 0,               kmeans-3,k1,  0.10,  0.13, --  *   ------------|--                 
 0,               kmeans-5,k5,  0.10,  0.14, --  *   ---------   |                   
 0,               kmeans-5,k3,  0.11,  0.15, --  *    -----------|                   
 0,               kmeans-3,k3,  0.11,  0.15, --  *    -----------|                   
#
 1,                  non,asIs,  0.23,  0.15,    ----   *   ----- |                   
