 ++ Standard Residual without abs:
#
 0,               kmeans-1,k1, -0.00,  1.12,            -----    *  -----            
 0,                  non,asIs,  0.02,  1.16,             ----    *  -----            
 0,               kmeans-3,k3, -0.02,  1.23,           -----     *  ------           
 0,               kmeans-3,k1, -0.03,  1.27,            ----     *   ----            
 0,               kmeans-5,k1, -0.06,  1.32,            ----    *|   ----            
 0,               kmeans-5,k3,  0.07,  1.24,            -----    *   -----           
 0,               kmeans-5,k5,  0.10,  1.24,             ----    *   -----           


 ++ Standard Residual with abs:
#
 0,                  non,asIs,  0.72,  0.58,  ----    *  ------- |                   
 0,               kmeans-3,k1,  0.72,  0.71,  ----    *    ------|-                  
 0,               kmeans-5,k3,  0.74,  0.61,  -----   *   -------|                   
 0,               kmeans-5,k1,  0.75,  0.60,  -----   *   -------|                   
 0,               kmeans-3,k3,  0.77,  0.63,  -----   *    ------|                   
 0,               kmeans-1,k1,  0.78,  0.60,   ----   *   -------|                   
 0,               kmeans-5,k5,  0.81,  0.63,   ----    *   ------|                   


 ++ d2h differences:
#
 0,               kmeans-3,k3,  0.06,  0.07, --  * -----         |                   
 0,               kmeans-5,k3,  0.07,  0.06, --  * ------        |                   
 0,               kmeans-5,k5,  0.07,  0.07, --  * ------        |                   
#
 1,               kmeans-1,k1,  0.08,  0.08,  --  *  -----       |                   
 1,               kmeans-5,k1,  0.08,  0.08, --   *  -----       |                   
 1,               kmeans-3,k1,  0.09,  0.08,  --  *   ----       |                   
#
 2,                  non,asIs,  0.16,  0.14,   ----    *    -----|-                  
