 ++ Standard Residual without abs:
#
 0,               kmeans-5,k1, -0.23,  0.71,         --- *  -----|---                
 0,               kmeans-5,k5, -0.23,  0.52,         --- * ------|-                  
 0,               kmeans-5,k3, -0.24,  0.49,         --- * ------|-                  
 0,                  non,asIs, -0.25,  0.49,         --- * ------|                   
 0,               kmeans-3,k1, -0.26,  0.58,         --- * ------|-                  
 0,               kmeans-3,k3, -0.28,  0.57,        ---- * ------|-                  
 0,               kmeans-1,k1, -0.29,  0.47,        ---  *-------|                   


 ++ Standard Residual with abs:
#
 0,               kmeans-3,k1,  0.45,  0.46,  -  *  -------      |                   
 0,               kmeans-1,k1,  0.47,  0.42,  -  * --------      |                   
 0,                  non,asIs,  0.47,  0.48,  -  *  ---------    |                   
 0,               kmeans-3,k3,  0.47,  0.48,  -  *  --------     |                   
 0,               kmeans-5,k5,  0.48,  0.54,  -  *   --------    |                   
 0,               kmeans-5,k1,  0.49,  0.51,  -  *  -------      |                   
 0,               kmeans-5,k3,  0.52,  0.53,  --  *  -------     |                   


 ++ d2h differences:
#
 0,                  non,asIs,  0.07,  0.09, --   *   -----      |                   
 0,               kmeans-3,k3,  0.07,  0.08, ---  *   -------    |                   
 0,               kmeans-5,k5,  0.07,  0.08, ---  *   ------     |                   
 0,               kmeans-5,k3,  0.08,  0.09, --    *   ------    |                   
 0,               kmeans-1,k1,  0.08,  0.10, --    *    ------   |                   
 0,               kmeans-3,k1,  0.08,  0.10, --    *    -----    |                   
#
 1,               kmeans-5,k1,  0.10,  0.11, ---    *    ------  |                   
