 ++ Standard Residual without abs:
#
 0,               kmeans-5,k3, -0.00,  1.44,         ------     *|     ---           
 0,               kmeans-1,k1, -0.01,  1.60,         -----      *|     ---           
 0,               kmeans-5,k1, -0.04,  1.58,         -----      *|     ---           
 0,               kmeans-3,k1, -0.05,  1.56,         -----      *|     ----          
 0,               kmeans-5,k5, -0.14,  1.49,         ------    * |     ----          
 0,               kmeans-3,k3,  0.22,  1.56,         ------      |*     ---          
 0,                  non,asIs,  0.25,  1.54,        -------      |*    ---           


 ++ Standard Residual with abs:
#
 0,               kmeans-5,k3,  0.86,  0.51,     -----    *   ---|--                 
 0,               kmeans-3,k1,  0.88,  0.47,     -----     *  ---|--                 
 0,               kmeans-5,k5,  0.88,  0.47,     ------    *   --|-----              
 0,               kmeans-1,k1,  0.91,  0.48,     ------    *   --|----               
 0,               kmeans-5,k1,  0.91,  0.55,     ------    *   --|----               
 0,                  non,asIs,  0.92,  0.50,     ------    *   --|---                
 0,               kmeans-3,k3,  0.94,  0.48,      -----    *   --|---                


 ++ d2h differences:
#
 0,               kmeans-3,k1,  0.06,  0.11, -   *   --------    |                   
 0,               kmeans-5,k1,  0.07,  0.12, -   *    ---------  |                   
 0,               kmeans-5,k3,  0.07,  0.10, --  *   --------    |                   
 0,               kmeans-5,k5,  0.07,  0.09, --  *   -----       |                   
 0,               kmeans-1,k1,  0.08,  0.13, --   *    ----------|                   
 0,               kmeans-3,k3,  0.08,  0.11, --   *   -------    |                   
#
 1,                  non,asIs,  0.15,  0.10,  -----   *  -----   |                   
