 ++ Standard Residual without abs:
#
 0,               kmeans-3,k3, -0.24,  0.72,      --  * -------- |                   
 0,               kmeans-5,k3, -0.26,  0.72,      --  * -------  |                   
 0,                  non,asIs, -0.29,  0.67,     ---  * -------- |                   
 0,               kmeans-5,k1, -0.30,  0.75,      --  * -------- |                   
 0,               kmeans-1,k1, -0.30,  0.58,      -- * --------  |                   
 0,               kmeans-5,k5, -0.31,  0.68,      -- *  -------- |                   
 0,               kmeans-3,k1, -0.35,  0.56,      -- * --------  |                   


 ++ Standard Residual with abs:
#
 0,               kmeans-1,k1,  0.56,  0.58,  -  *  ----         |                   
 0,               kmeans-3,k3,  0.57,  0.50,  -  * -----         |                   
 0,                  non,asIs,  0.58,  0.51,  -  * -----         |                   
 0,               kmeans-5,k5,  0.59,  0.54,  -  * -----         |                   
 0,               kmeans-3,k1,  0.59,  0.60,  -  *  ----         |                   
 0,               kmeans-5,k1,  0.60,  0.53,  -  * ----          |                   
 0,               kmeans-5,k3,  0.64,  0.59,  -  *  ----         |                   


 ++ d2h differences:
#
 0,               kmeans-3,k1,  0.07,  0.18, -   *       --------|-----              
 0,               kmeans-5,k1,  0.07,  0.18, -   *       --------|------             
 0,               kmeans-1,k1,  0.07,  0.19, -   *        -------|-------            
 0,               kmeans-3,k3,  0.08,  0.14, --  *     ----------|                   
 0,               kmeans-5,k3,  0.08,  0.14, -   *     ----------|-                  
#
 1,               kmeans-5,k5,  0.10,  0.14, --   *     ---------|                   
#
 2,                  non,asIs,  0.15,  0.10,   ----   *  --------|                   
