 ++ Standard Residual without abs:
#
 0,               kmeans-5,k5, -0.10,  1.37,           ----    * |   ------          
 0,               kmeans-3,k1, -0.13,  1.28,            ---    * |   ------          
 0,               kmeans-5,k1, -0.16,  1.32,           ----   *  |   -----           
 0,                  non,asIs, -0.18,  1.27,            ---   *  |   -----           
 0,               kmeans-3,k3, -0.20,  1.18,           ----   *  |  -------          
 0,               kmeans-1,k1, -0.21,  1.33,           ----   *  |   ------          
 0,               kmeans-5,k3, -0.27,  1.31,           ----   *  |  ------           


 ++ Standard Residual with abs:
#
 0,                  non,asIs,  0.71,  0.50,   ----   *   -------|                   
 0,               kmeans-5,k1,  0.75,  0.56,   ----    *   ------|--                 
 0,               kmeans-3,k3,  0.76,  0.59,    ----   *    -----|-                  
#
 1,               kmeans-3,k1,  0.78,  0.49,   -----   *   ------|--                 
 1,               kmeans-5,k5,  0.79,  0.57,   -----   *    -----|---                
 1,               kmeans-1,k1,  0.79,  0.54,    ----    *   -----|--                 
 1,               kmeans-5,k3,  0.83,  0.62,   -----    *   -----|---                


 ++ d2h differences:
#
 0,               kmeans-5,k1,  0.05,  0.06, -  * -----          |                   
 0,               kmeans-3,k3,  0.05,  0.05, -  * ----           |                   
 0,               kmeans-5,k5,  0.05,  0.06, -  * -----          |                   
 0,               kmeans-5,k3,  0.05,  0.06, -  * -----          |                   
 0,               kmeans-1,k1,  0.05,  0.07, -  * -------        |                   
 0,               kmeans-3,k1,  0.06,  0.07, -- *  -------       |                   
#
 1,                  non,asIs,  0.13,  0.10,   ---   *  -------  |                   
