#
 0,                  non,LGBM,  0.09,  0.10,  *-                 |                   
 0,                   RS,LGBM,  0.09,  0.11,  *-                 |                   
 0,                   DS,LGBM,  0.10,  0.12,  *-                 |                   
#
 1,                   non,SVR,  0.28,  0.33, -  * ----           |                   
 1,                    DS,SVR,  0.30,  0.34, -  * -----          |                   
 1,                    RS,SVR,  0.31,  0.36, -  *  ----          |                   
#
 2,                    non,LR,  0.35,  0.27, --  *---            |                   
 2,                     RS,LR,  0.36,  0.29, --  * --            |                   
 2,                    RS,LSR,  0.37,  0.30, --  * --            |                   
 2,                     RS,RR,  0.38,  0.31, --  * ---           |                   
 2,                   non,LSR,  0.39,  0.25,  -- * --            |                   
 2,                    non,RR,  0.39,  0.25,  -- * --            |                   
 2,                     DS,LR,  0.39,  0.33,  -  * ---           |                   
 2,                     DS,RR,  0.40,  0.32, --  * ---           |                   
 2,                    DS,LSR,  0.40,  0.30, --  * ---           |                   
#
 3,               kmeans-5,k3,  0.61,  0.88,  --    *     -------|----               
 3,               kmeans-3,k3,  0.64,  0.89,  --    *      ------|---                
#
 4,               kmeans-5,k5,  0.78,  0.81,  ----    *    ------|---                
 4,                   RS,asIs,  0.79,  0.54,   ----   *  --------|                   
 4,                   DS,asIs,  0.85,  0.59,   ----    *  ------ |                   
 4,                  non,asIs,  0.86,  0.57,   ----    *  -----  |                   
#
 5,               kmeans-1,k1,  1.13,  1.57,  ----        *      |  -------          
 5,               kmeans-3,k1,  1.13,  1.51,  ----        *      |  -------          
#
 6,               kmeans-5,k1,  1.26,  1.51,  ----         *     |  -------          


