#
 0,                   non,SVR,  0.10,  0.46, *  ------------     |                   
#
 1,                    RS,SVR,  0.12,  0.67,  *   ------         |                   
 1,                    DS,SVR,  0.14,  0.67,  *   ------------   |                   
 1,                   RS,LGBM,  0.14,  0.24,  *----              |                   
 1,                  non,LGBM,  0.14,  0.23,  *----              |                   
 1,                   DS,LGBM,  0.18,  0.27,  *----              |                   
#
 2,               kmeans-5,k5,  0.37,  0.95,    *    ------------|                   
 2,                   non,LSR,  0.39,  0.54, -  *  ----          |                   
 2,                    non,RR,  0.39,  0.49, -  *  -----         |                   
 2,               kmeans-5,k3,  0.42,  1.04,    *     -----------|--                 
 2,                     RS,LR,  0.42,  0.42, -- * -----          |                   
 2,                    RS,LSR,  0.42,  0.45, -- * ------         |                   
 2,                     DS,RR,  0.43,  0.47, -- *  -----         |                   
 2,               kmeans-3,k3,  0.44,  1.06,    *     -----------|-                  
 2,                  non,asIs,  0.44,  0.52, -- *  -------       |                   
 2,                    non,LR,  0.44,  0.49, -- *  -----         |                   
 2,                   RS,asIs,  0.45,  0.58, -- *   --------     |                   
 2,                     RS,RR,  0.45,  0.47, -  * -----          |                   
 2,                    DS,LSR,  0.45,  0.45, -- * ------         |                   
 2,               kmeans-5,k1,  0.46,  1.11,    *     -----------|---                
 2,                     DS,LR,  0.47,  0.48, -- *  -----         |                   
 2,               kmeans-1,k1,  0.50,  1.25, -   *      ---------|------             
 2,                   DS,asIs,  0.51,  0.54, --  *  -------      |                   
 2,               kmeans-3,k1,  0.59,  1.28,     *      ---------|-----              


