#
 0,                   DS,LGBM,  0.04,  0.06, *                   |                   
 0,                  non,LGBM,  0.05,  0.05, *                   |                   
 0,                   RS,LGBM,  0.05,  0.06, *                   |                   
 0,                   non,SVR,  0.05,  0.07, *                   |                   
 0,                    DS,SVR,  0.06,  0.07, *                   |                   
 0,                    RS,SVR,  0.06,  0.06, *                   |                   
#
 1,                    RS,LSR,  0.17,  0.17, -*--                |                   
 1,                     DS,LR,  0.18,  0.17, -*--                |                   
 1,                    DS,LSR,  0.18,  0.20, -* --               |                   
 1,                     DS,RR,  0.19,  0.15, - *-                |                   
 1,                    non,LR,  0.19,  0.16, - *-                |                   
 1,                   non,LSR,  0.19,  0.18, - *--               |                   
 1,                     RS,RR,  0.19,  0.16, - *-                |                   
 1,                     RS,LR,  0.19,  0.16, - *--               |                   
 1,                    non,RR,  0.20,  0.14, - *-                |                   
#
 2,               kmeans-5,k5,  0.70,  0.74,  ---   *    ------  |                   
 2,               kmeans-5,k3,  0.73,  1.09, ---    *       -----|--                 
 2,               kmeans-3,k3,  0.76,  1.02, ---     *     ------|                   
 2,                  non,asIs,  0.88,  0.53,   ----   *  -----   |                   
 2,                   DS,asIs,  0.89,  0.61,   ----   *  -----   |                   
 2,                   RS,asIs,  0.90,  0.61,   ----   *   ----   |                   
 2,               kmeans-5,k1,  0.94,  1.29, ---       *      ---|---                
 2,               kmeans-1,k1,  1.08,  1.19, ----       *     ---|---                
 2,               kmeans-3,k1,  1.09,  1.19,  ---       *     ---|---                


