#
 0,                   DS,LGBM,  0.01,  0.03, *                   |                   
 0,                   RS,LGBM,  0.01,  0.02, *                   |                   
 0,                  non,LGBM,  0.01,  0.03, *                   |                   
#
 1,                    RS,SVR,  0.04,  0.06, *--                 |                   
 1,                    DS,SVR,  0.04,  0.08, *---                |                   
 1,                   non,SVR,  0.04,  0.09, *---                |                   
#
 2,                    non,LR,  0.31,  0.31, - *----             |                   
 2,                     RS,RR,  0.32,  0.35, - *-----            |                   
 2,                    DS,LSR,  0.32,  0.35, - *----             |                   
 2,                    non,RR,  0.33,  0.34, - *----             |                   
 2,                    RS,LSR,  0.33,  0.40, - * ----            |                   
 2,                   non,LSR,  0.33,  0.35, - *----             |                   
 2,                     RS,LR,  0.33,  0.34, - *-----            |                   
 2,                     DS,RR,  0.35,  0.39, - * ---             |                   
 2,                     DS,LR,  0.36,  0.36, - * ----            |                   
#
 3,               kmeans-3,k1,  0.43,  1.17,    *    --------    |                   
 3,               kmeans-5,k5,  0.48,  0.94, -  *   ------       |                   
 3,               kmeans-5,k1,  0.50,  1.07, -  *    --------    |                   
 3,                  non,asIs,  0.51,  0.63, -  *  ----          |                   
 3,               kmeans-5,k3,  0.53,  0.82, -  *   ------       |                   
 3,               kmeans-3,k3,  0.54,  0.82, -  *   -------      |                   
 3,                   DS,asIs,  0.56,  0.53, -- *  -----         |                   
 3,               kmeans-1,k1,  0.58,  1.11, -   *   -------     |                   
 3,                   RS,asIs,  0.61,  0.59, --  * ----          |                   


