#
 0,                  non,LGBM,  0.02,  0.03, *                   |                   
#
 1,                  DS2,LGBM,  0.33,  0.35, -- *  ---           |                   
#
 2,                   DS,LGBM,  0.35,  0.35, --  * ----          |                   
 2,                    non,RR,  0.37,  0.38, --  *  -------      |                   
 2,                     DS,RR,  0.37,  0.42, --  *  -----        |                   
#
 3,                    DS2,RR,  0.38,  0.43, --  *  -----        |                   
 3,                   RS,LGBM,  0.38,  0.45, --  *  ------       |                   
 3,                   non,LSR,  0.39,  0.43, --  *  -------      |                   
 3,                    DS2,LR,  0.39,  0.41, --  *  ------       |                   
 3,                    DS,LSR,  0.39,  0.43, --  *  ------       |                   
 3,                     DS,LR,  0.40,  0.45, --  *   -----       |                   
 3,                    non,LR,  0.40,  0.41, --  *  -------      |                   
 3,                   DS2,SVR,  0.41,  0.23, --- * ------------  |                   
 3,                     RS,LR,  0.41,  0.45, --  *   -------     |                   
 3,                    RS,LSR,  0.41,  0.46, --  *   ------      |                   
 3,                     RS,RR,  0.41,  0.46, --  *   ------      |                   
 3,                   DS2,LSR,  0.42,  0.42, --   * ------       |                   
#
 4,                    DS,SVR,  0.43,  0.49, --   *  ------------|                   
 4,                   non,SVR,  0.48,  0.36, --   * -------------|-------            
 4,                    RS,SVR,  0.48,  0.77, --   *     ---------|----               
 4,               kmeans-3,k1,  0.57,  1.32, ---   *            -|----------         
 4,               kmeans-1,k1,  0.57,  1.35, ---   *            -|-----------        
 4,               kmeans-5,k1,  0.57,  1.07, ----  *         ----|----------         
#
 5,               kmeans-5,k5,  0.65,  0.76,  ---   *     -------|                   
#
 6,                  non,asIs,  0.71,  0.56,   ---   *   --------|                   
 6,                   RS,asIs,  0.82,  0.53,   ----   *  -----   |                   
 6,                   DS,asIs,  0.85,  0.58,  -----    *  -------|                   
 6,               kmeans-3,k3,  0.88,  0.95,  ----     *     ----|----               
 6,                  DS2,asIs,  0.88,  0.50,   -----   *  -------|                   
 6,               kmeans-5,k3,  0.89,  0.99,  ----     *      ---|---                


