#
 0,                    DS,SVR,  0.01,  0.01, *                   |                   
 0,                   DS,LGBM,  0.01,  0.01, *                   |                   
 0,                  non,LGBM,  0.01,  0.01, *                   |                   
 0,                   non,SVR,  0.01,  0.01, *                   |                   
 0,                    RS,SVR,  0.01,  0.01, *                   |                   
 0,                   RS,LGBM,  0.01,  0.01, *                   |                   
#
 1,               kmeans-3,k1,  0.12,  0.69,  *        -         |                   
 1,               kmeans-5,k3,  0.15,  0.46,   *   -----         |                   
 1,               kmeans-1,k1,  0.15,  0.64, - *       -         |                   
#
 2,               kmeans-3,k3,  0.17,  0.44,   *   -----         |                   
 2,               kmeans-5,k1,  0.20,  0.67,   *       -         |                   
 2,                     DS,RR,  0.21,  0.24, --*  ---            |                   
 2,                    DS,LSR,  0.21,  0.25,  -*  --             |                   
#
 3,                   non,LSR,  0.22,  0.25,  - * ---            |                   
 3,                     RS,RR,  0.23,  0.25,  - * ---            |                   
 3,                     DS,LR,  0.23,  0.26, -- * -----          |                   
 3,                  non,asIs,  0.23,  0.23,  - * ----           |                   
 3,                    RS,LSR,  0.23,  0.27,  - * ------         |                   
 3,                    non,RR,  0.24,  0.24,  - * -----          |                   
 3,                     RS,LR,  0.24,  0.25, -- * --             |                   
 3,                   RS,asIs,  0.24,  0.17, -- *-----           |                   
 3,                    non,LR,  0.24,  0.26,  - * ----           |                   
#
 4,               kmeans-5,k5,  0.25,  0.35, -  *  ----          |                   
 4,                   DS,asIs,  0.25,  0.24, -  * ---            |                   

