#
 0,                  non,LGBM,  0.01,  0.01, *                   |                   
#
 1,                     RS,RR,  0.10,  0.08, - * ---             |                   
 1,                    RS,LSR,  0.10,  0.09, - * ---             |                   
 1,                     DS,RR,  0.10,  0.08, - * --              |                   
 1,                    non,LR,  0.10,  0.08, - * --              |                   
 1,                   non,LSR,  0.10,  0.07, --* --              |                   
 1,                    DS2,RR,  0.11,  0.09, -  *---             |                   
 1,                    DS,LSR,  0.11,  0.09, -  *--              |                   
 1,                   DS2,LSR,  0.11,  0.09, -  *--              |                   
 1,                     RS,LR,  0.11,  0.09, -  *---             |                   
 1,                    non,RR,  0.11,  0.07, -- *--              |                   
 1,                    DS2,LR,  0.11,  0.09, -- *--              |                   
 1,                     DS,LR,  0.11,  0.08, -- *--              |                   
 1,               kmeans-3,k3,  0.15,  0.21, -   *  -----        |                   
 1,                   non,SVR,  0.16,  0.18, -   * ------        |                   
#
 2,               kmeans-5,k3,  0.17,  0.21, -   *  ----         |                   
 2,               kmeans-5,k5,  0.17,  0.19, --  *  -----        |                   
 2,                  non,asIs,  0.18,  0.12,  --  *---           |                   
 2,                  DS2,asIs,  0.18,  0.12,  --  *---           |                   
 2,               kmeans-3,k1,  0.19,  0.25, --   *   ----       |                   
 2,                   RS,asIs,  0.19,  0.12,  --  *---           |                   
 2,                   DS,asIs,  0.19,  0.12,  --  * ---          |                   
 2,               kmeans-1,k1,  0.20,  0.25, --   *   ----       |                   
#
 3,               kmeans-5,k1,  0.21,  0.26, --   *    ---       |                   
 3,                   RS,LGBM,  0.25,  0.27, ----   *   -------  |                   
#
 4,                   DS,LGBM,  0.27,  0.25,  ---   *   -------  |                   
 4,                  DS2,LGBM,  0.31,  0.26,  ----   *   ------  |                   
 4,                    DS,SVR,  0.31,  0.35,  ---    *    ----   |                   
 4,                   DS2,SVR,  0.32,  0.38,  --      *    --    |                   
#
 5,                    RS,SVR,  0.41,  0.40, ----       *   ---- |                   

