#
 0,                   DS,asIs,  0.14,  0.14, *                   |                   
#
 1,                   RS,asIs,  0.16,  0.13, *                   |                   
 1,               kmeans-3,k3,  0.17,  0.19, *                   |                   
 1,                  DS2,asIs,  0.17,  0.11, *                   |                   
 1,                  non,asIs,  0.17,  0.11, *                   |                   
 1,               kmeans-5,k3,  0.17,  0.18, *                   |                   
 1,               kmeans-5,k5,  0.18,  0.17, *                   |                   
#
 2,               kmeans-1,k1,  0.22,  0.30, *                   |                   
 2,               kmeans-3,k1,  0.23,  0.28, *                   |                   
 2,               kmeans-5,k1,  0.24,  0.31, *                   |                   
#
 3,                  non,LGBM,  0.38,  0.45, *                   |                   
#
 4,                   non,SVR,  4.54, 13.78, *---------          |                   
#
 5,                   DS2,SVR,  5.54, 12.72, *-----              |                   
#
 6,                    RS,SVR,  5.65,  8.84, *-------            |                   
#
 7,                    DS,SVR,  6.24, 12.98, *-----              |                   
#
 8,                    RS,LSR, 23.75, 36.61,  *---               |                   
#
 9,                     RS,RR, 24.86, 32.86,  *---               |                   
 9,                     RS,LR, 24.88, 32.93,  *---               |                   
 9,                   non,LSR, 25.19, 28.96,  *---               |                   
 9,                    non,RR, 25.71, 26.90,  *--                |                   
 9,                    DS2,RR, 26.63, 36.62,  *----              |                   
#
10,                     DS,LR, 27.45, 31.20,  *---               |                   
10,                    non,LR, 27.68, 28.62,  *-----             |                   
10,                     DS,RR, 27.87, 39.81,  *-----             |                   
10,                    DS,LSR, 28.80, 35.83,  *---               |                   
10,                   DS2,LSR, 29.08, 39.75,  *----              |                   
10,                    DS2,LR, 31.05, 35.18,  *---               |                   
#
11,                   RS,LGBM, 43.08, 54.45, - *----             |                   
11,                   DS,LGBM, 45.31, 51.75, - * -----           |                   
11,                  DS2,LGBM, 50.65, 58.10, - * ------          |                   

