#
 0,                    non,LR,  0.00,  0.60,                 -  *|                   
 0,                   DS2,LSR, -0.00,  0.73,                --  *|-                  
 0,                   non,LSR, -0.01,  0.59,                 -  *|                   
 0,                  non,LGBM, -0.01,  0.14,                    *|                   
 0,                    RS,SVR, -0.02,  1.11,                 - * | ----              
 0,                   DS2,SVR, -0.02,  1.05,                 - * | ----              
 0,                    DS2,RR, -0.02,  0.75,                -- * |--                 
 0,                   non,SVR, -0.02,  0.40,                  -*-|                   
 0,                     DS,RR,  0.02,  0.79,                --  *|-                  
 0,                    DS2,LR, -0.03,  0.67,                -- * |--                 
 0,                     DS,LR, -0.04,  0.82,               --- * |-                  
 0,                     RS,LR,  0.04,  0.79,                --  *|--                 
 0,                    DS,SVR,  0.05,  1.25,                 -- *|  ---              
 0,                    non,RR, -0.05,  0.61,                 - * |                   
 0,               kmeans-1,k1, -0.06,  1.19,           -----   * |-----              
 0,               kmeans-5,k1, -0.06,  1.13,           ------  * |-----              
#
 1,                    RS,LSR,  0.07,  0.76,                --  *|--                 
 1,                     RS,RR,  0.07,  0.81,                --  *|--                 
 1,               kmeans-3,k3, -0.10,  0.93,             ----  * |----               
 1,                    DS,LSR, -0.11,  0.81,               --- * |-                  
 1,               kmeans-5,k5, -0.12,  1.16,              ---  * |----               
 1,               kmeans-3,k1, -0.13,  1.13,           ------  * |-----              
 1,               kmeans-5,k3, -0.13,  0.89,             ----  * |----               
 1,                   DS,asIs, -0.27,  1.30,               -- *  |----               
 1,                   RS,asIs, -0.33,  1.40,               -  *  |---                
 1,                  DS2,asIs, -0.37,  1.23,               -- *  |----               
 1,                   DS,LGBM, -0.38,  1.35,                - *  |----               
 1,                   RS,LGBM, -0.41,  1.17,               -- *  |----               
 1,                  DS2,LGBM, -0.41,  1.44,                - *  |----               
 1,                  non,asIs, -0.44,  1.38,               -- *  |----               


