#
 0,                    DS,LSR,  0.00,  0.83,                -  *-|-                  
 0,                     RS,RR, -0.00,  0.78,                -  *-|-                  
 0,                   RS,LGBM, -0.01,  0.21,                ---*-|                   
 0,                  non,LGBM, -0.01,  0.23,                -- *-|                   
 0,                   DS,LGBM, -0.01,  0.22,                -- *-|                   
 0,                   non,SVR,  0.02,  0.72,               --- *-|--                 
 0,                    non,LR, -0.02,  0.76,                -  *-|                   
 0,                    DS,SVR, -0.02,  0.70,               --- *-|--                 
 0,               kmeans-5,k5,  0.03,  1.10,              ---  * |---                
 0,                   non,LSR,  0.04,  0.74,                -  *-|-                  
 0,               kmeans-1,k1,  0.05,  0.99,             ----- * |----               
 0,                    RS,LSR,  0.06,  0.81,                -  *-|-                  
 0,                    RS,SVR, -0.06,  0.69,              ---  *-|-                  
 0,                    non,RR, -0.06,  0.80,                -  *-|                   
 0,                     RS,LR, -0.07,  0.77,                -  *-|-                  
 0,               kmeans-5,k1,  0.07,  1.41,             ----  * | ----              
 0,                     DS,LR, -0.08,  0.78,                -  *-|-                  
 0,                  non,asIs,  0.12,  1.21,               --  * |---                
 0,               kmeans-3,k3, -0.12,  0.99,            ----  * -|---                
 0,               kmeans-3,k1,  0.12,  1.27,             ----- * | ---               
 0,                     DS,RR, -0.13,  0.70,                - * -|                   
 0,               kmeans-5,k3, -0.13,  1.09,            ----  * -|---                
 0,                   DS,asIs, -0.19,  1.37,              --  *  |-                  
 0,                   RS,asIs, -0.26,  1.23,              --  *  |--                 


