#
 0,                    DS,SVR,  0.00,  0.14,                 ---*|-                  
 0,                  non,LGBM,  0.00,  0.02,                    *|                   
 0,                   RS,LGBM,  0.00,  0.02,                    *|                   
 0,                   DS,LGBM, -0.00,  0.02,                    *|                   
 0,                    RS,SVR, -0.00,  0.17,               ---- *|-                  
 0,               kmeans-5,k5,  0.00,  1.28,           ------   *|  -----            
 0,               kmeans-3,k3, -0.00,  1.27,          ------    *| -----             
 0,                   non,SVR,  0.01,  0.15,                --- *|-                  
 0,               kmeans-5,k3,  0.01,  1.30,           -----    *| -------           
 0,                   non,LSR,  0.01,  0.42,                  - *|-                  
 0,               kmeans-3,k1, -0.02,  1.81,        ------      *|   -----           
 0,                     RS,RR, -0.02,  0.36,                  - *|-                  
 0,                    non,RR, -0.02,  0.43,                 -- *|-                  
 0,               kmeans-1,k1, -0.04,  1.56,          -----     *| -------           
 0,                    non,LR, -0.04,  0.40,                 -- *|-                  
 0,                    DS,LSR, -0.04,  0.45,                 -- *|-                  
 0,                    RS,LSR, -0.05,  0.39,                    *|-                  
 0,                  non,asIs, -0.05,  1.22,            ---     *|-----              
 0,                     DS,RR, -0.05,  0.38,                 -- *|-                  
 0,                     RS,LR, -0.05,  0.37,                    *|-                  
 0,                   DS,asIs, -0.06,  1.18,            ----   * |-----              
 0,                   RS,asIs, -0.07,  1.30,             --    * | -----             
 0,                     DS,LR, -0.08,  0.38,                   *-|-                  
 0,               kmeans-5,k1, -0.11,  1.65,        ------     * | -------           


