#
 0,                   DS,LGBM,  0.00,  0.45,              --- *--|                   
 0,                  non,LGBM,  0.00,  0.36,               -- *--|                   
 0,                    RS,SVR, -0.01,  0.47,               -- *--|                   
 0,                   non,SVR, -0.01,  0.47,               -- *--|                   
 0,                  non,asIs,  0.01,  1.19,             ---  *  |---                
 0,                     RS,LR,  0.01,  0.60,               -- * -|                   
 0,                    non,LR,  0.01,  0.59,              --- * -|                   
 0,                   RS,LGBM, -0.02,  0.37,                - *--|                   
 0,                    non,RR, -0.02,  0.61,               -- * -|                   
 0,                     RS,RR, -0.02,  0.60,              --- * -|                   
 0,                     DS,LR, -0.02,  0.60,              --- * -|                   
 0,                   RS,asIs, -0.02,  1.19,             --   *  |--                 
 0,                     DS,RR, -0.03,  0.62,              --- *--|                   
 0,               kmeans-5,k3, -0.03,  1.22,           ----   *  |---                
 0,               kmeans-3,k3, -0.03,  1.17,            ---   *  |---                
 0,                    RS,LSR, -0.04,  1.28,             --   *  |--                 
 0,                    DS,SVR, -0.04,  0.49,               -- *--|                   
 0,               kmeans-5,k1, -0.07,  1.32,          -----   *  |----               
 0,               kmeans-3,k1, -0.07,  1.44,          -----   *  |----               
 0,                   DS,asIs, -0.08,  1.28,             --   *  |---                
 0,                    DS,LSR, -0.08,  1.10,             --   * -|--                 
 0,               kmeans-5,k5, -0.09,  1.11,           ----   * -|--                 
 0,                   non,LSR, -0.11,  1.15,             --   *  |--                 
 0,               kmeans-1,k1, -0.19,  1.43,          ----   *   |----               


