#
 0,                   non,SVR, -0.01,  0.62,                     |  --*-             
 0,                    DS2,RR,  0.01,  0.83,                     |  - *-             
 0,                  non,LGBM, -0.02,  0.29,                     |   -*              
 0,                  non,asIs, -0.02,  0.76,                     |  - *-             
 0,                   RS,LGBM,  0.02,  0.86,                     |  - *-             
 0,                    RS,SVR,  0.03,  0.72,                     |  --*--            
 0,                    DS2,LR,  0.04,  0.79,                     |  - *-             
 0,                   DS2,SVR, -0.05,  0.62,                     |  - *-             
 0,                    DS,SVR, -0.05,  0.56,                     |  - *              
 0,                   RS,asIs, -0.06,  1.06,                     |  - *-             
 0,                   non,LSR,  0.06,  0.85,                     |  - *-             
 0,                   DS2,LSR,  0.07,  0.81,                     |  - *-             
 0,                     DS,RR,  0.07,  0.83,                     |   -*-             
 0,                    RS,LSR,  0.08,  1.14,                     | -- *-             
 0,                    non,RR,  0.09,  0.88,                     |  - *-             
 0,                     DS,LR,  0.09,  0.83,                     |   -*-             
 0,                     RS,RR,  0.09,  1.11,                     |  - *-             
 0,                    non,LR,  0.09,  0.84,                     |  - *-             
 0,                    DS,LSR,  0.10,  0.87,                     |    *-             
 0,                     RS,LR,  0.13,  1.04,                     |  - *-             
 0,               kmeans-3,k1, -0.15,  1.38,                     |--  *--            
 0,               kmeans-1,k1, -0.15,  1.66,                     |--  *--            
 0,               kmeans-5,k1, -0.19,  1.48,                     |--  *-             
 0,                   DS,LGBM, -0.26,  0.55,                     |  - *              
 0,               kmeans-5,k5, -0.26,  1.20,                     | -  *-             
 0,                   DS,asIs, -0.29,  0.99,                     | -- *-             
 0,                  DS2,LGBM, -0.32,  0.65,                     |  - *              
 0,               kmeans-5,k3, -0.35,  1.17,                     |--  *-             
 0,                  DS2,asIs, -0.40,  0.85,                     |  -*-              
 0,               kmeans-3,k3, -0.40,  1.25,                     |-- *--             


