#
 0,                  non,asIs, -0.01,  0.75,                     | -- *-             
 0,                   non,SVR, -0.01,  0.55,                     | -- *-             
 0,                   RS,asIs, -0.01,  1.00,                     | -  *-             
 0,                  non,LGBM, -0.02,  0.33,                     |  - *              
 0,                    DS2,RR,  0.04,  0.86,                     |  - *-             
 0,                    DS2,LR,  0.04,  0.84,                     |  - *-             
 0,                   DS2,LSR,  0.05,  0.80,                     |  - *              
 0,                   RS,LGBM,  0.05,  0.87,                     | -- *-             
 0,                    RS,SVR,  0.05,  0.75,                     | -- *-             
 0,                    RS,LSR,  0.05,  1.19,                     | -  *-             
 0,                    DS,LSR,  0.06,  0.83,                     |  - *              
 0,                     DS,RR,  0.07,  0.78,                     |  - *              
 0,                    non,LR,  0.08,  0.81,                     | -- *              
 0,                   DS2,SVR, -0.08,  0.70,                     | --*-              
 0,                    non,RR,  0.08,  0.85,                     | -- *              
 0,                     DS,LR,  0.10,  0.76,                     |  - *-             
 0,                   non,LSR,  0.10,  0.83,                     | -- *              
 0,                    DS,SVR, -0.11,  0.57,                     | --*-              
#
 1,                     RS,RR,  0.12,  1.20,                     | -  *-             
#
 2,                     RS,LR,  0.15,  1.12,                     | -- *-             
 2,               kmeans-1,k1, -0.18,  1.53,                     |-  *--             
 2,               kmeans-3,k1, -0.18,  1.25,                     |-- *--             
 2,               kmeans-5,k1, -0.22,  1.35,                     |-- *--             
 2,                   DS,LGBM, -0.24,  0.57,                     | --*-              
 2,                   DS,asIs, -0.28,  1.01,                     |-- *-              
 2,                  DS2,LGBM, -0.29,  0.73,                     | - *-              
 2,               kmeans-5,k5, -0.31,  1.22,                     |-- *-              
 2,               kmeans-5,k3, -0.36,  1.21,                     |-- *--             
 2,                  DS2,asIs, -0.38,  0.97,                     | - *-              
 2,               kmeans-3,k3, -0.43,  1.33,                     |-  *-              


