#
 0,                  non,asIs,  0.00,  0.69,                     |     -- *-         
 0,                    DS2,RR, -0.01,  0.86,                     |      - *-         
 0,                  non,LGBM, -0.01,  0.29,                     |       -*          
 0,                   RS,asIs,  0.02,  0.92,                     |      - *-         
 0,                   non,SVR, -0.02,  0.59,                     |     -- *-         
 0,                     DS,RR,  0.04,  0.85,                     |      - *-         
 0,                    DS2,LR,  0.04,  0.88,                     |      - *-         
 0,                   DS2,LSR,  0.05,  0.85,                     |      - *-         
 0,                    RS,SVR,  0.05,  0.77,                     |      - *-         
 0,                   DS2,SVR, -0.07,  0.69,                     |      - *-         
 0,                     DS,LR,  0.09,  0.79,                     |      - *-         
 0,                   RS,LGBM,  0.09,  0.81,                     |     -- *-         
 0,               kmeans-1,k1, -0.09,  1.38,                     |    --  *--        
 0,                    non,RR,  0.09,  0.83,                     |      - *-         
#
 1,                   non,LSR,  0.10,  0.84,                     |      - *-         
 1,                    DS,LSR,  0.10,  0.80,                     |      - *-         
 1,                    RS,LSR,  0.11,  1.15,                     |     -- *-         
 1,                     RS,RR,  0.11,  1.09,                     |     -- *-         
 1,                    DS,SVR, -0.11,  0.57,                     |      - *          
 1,                    non,LR,  0.12,  0.82,                     |      - *-         
 1,               kmeans-3,k1, -0.12,  1.04,                     |    --- *--        
#
 2,                     RS,LR,  0.17,  1.05,                     |     -- *-         
 2,               kmeans-5,k1, -0.18,  1.31,                     |    --  *-         
 2,                   DS,LGBM, -0.23,  0.62,                     |      -*-          
 2,               kmeans-5,k5, -0.27,  1.20,                     |     - *--         
 2,                  DS2,LGBM, -0.28,  0.75,                     |     --*-          
 2,                   DS,asIs, -0.28,  1.09,                     |     - *-          
 2,               kmeans-5,k3, -0.35,  1.21,                     |    -- *--         
 2,               kmeans-3,k3, -0.35,  1.38,                     |    -- *--         
 2,                  DS2,asIs, -0.36,  0.96,                     |     - *-          


