 ++ Standard Residual without abs:
#
 0,                    non,LR,  0.00,  0.60,                 -  *|                   
 0,                   DS2,LSR, -0.00,  0.73,                --  *|-                  
 0,                   non,LSR, -0.01,  0.59,                 -  *|                   
 0,                  non,LGBM, -0.01,  0.14,                    *|                   
 0,                    RS,SVR, -0.02,  1.11,                 - * | ----              
 0,                   DS2,SVR, -0.02,  1.05,                 - * | ----              
 0,                    DS2,RR, -0.02,  0.75,                -- * |--                 
 0,                   non,SVR, -0.02,  0.40,                  -*-|                   
 0,                     DS,RR,  0.02,  0.79,                --  *|-                  
 0,                    DS2,LR, -0.03,  0.67,                -- * |--                 
 0,                     DS,LR, -0.04,  0.82,               --- * |-                  
 0,                     RS,LR,  0.04,  0.79,                --  *|--                 
 0,                    DS,SVR,  0.05,  1.25,                 -- *|  ---              
 0,                    non,RR, -0.05,  0.61,                 - * |                   
 0,               kmeans-1,k1, -0.06,  1.19,           -----   * |-----              
 0,               kmeans-5,k1, -0.06,  1.13,           ------  * |-----              
#
 1,                    RS,LSR,  0.07,  0.76,                --  *|--                 
 1,                     RS,RR,  0.07,  0.81,                --  *|--                 
 1,               kmeans-3,k3, -0.10,  0.93,             ----  * |----               
 1,                    DS,LSR, -0.11,  0.81,               --- * |-                  
 1,               kmeans-5,k5, -0.12,  1.16,              ---  * |----               
 1,               kmeans-3,k1, -0.13,  1.13,           ------  * |-----              
 1,               kmeans-5,k3, -0.13,  0.89,             ----  * |----               
 1,                   DS,asIs, -0.27,  1.30,               -- *  |----               
 1,                   RS,asIs, -0.33,  1.40,               -  *  |---                
 1,                  DS2,asIs, -0.37,  1.23,               -- *  |----               
 1,                   DS,LGBM, -0.38,  1.35,                - *  |----               
 1,                   RS,LGBM, -0.41,  1.17,               -- *  |----               
 1,                  DS2,LGBM, -0.41,  1.44,                - *  |----               
 1,                  non,asIs, -0.44,  1.38,               -- *  |----               


 ++ Standard Residual with abs:
#
 0,                  non,LGBM,  0.09,  0.10, *                   |                   
#
 1,                   non,SVR,  0.28,  0.33,  *---               |                   
#
 2,                    non,LR,  0.35,  0.27, - *-                |                   
 2,                   non,LSR,  0.39,  0.25, - *-                |                   
 2,                    non,RR,  0.39,  0.25, - *-                |                   
#
 3,                   DS2,LSR,  0.47,  0.53, - *  --             |                   
 3,                    DS,SVR,  0.47,  0.77, - *   ------        |                   
 3,                    DS2,RR,  0.48,  0.47, -  *----            |                   
 3,                    DS,LSR,  0.49,  0.51, -  *---             |                   
 3,                    RS,SVR,  0.49,  0.70, -  *  -----         |                   
 3,                   DS2,SVR,  0.49,  0.71, -  *  -----         |                   
 3,                    DS2,LR,  0.50,  0.55, -  * --             |                   
 3,                     DS,LR,  0.51,  0.52, -  * ---            |                   
 3,                     RS,RR,  0.51,  0.57, -  * ----           |                   
 3,                     DS,RR,  0.51,  0.53, -  * ---            |                   
 3,                    RS,LSR,  0.53,  0.56, -  * ----           |                   
 3,                     RS,LR,  0.54,  0.54, -  * ----           |                   
#
 4,               kmeans-3,k1,  0.69,  1.38, -   *     -----     |                   
 4,               kmeans-5,k3,  0.69,  1.03, --  *   ------      |                   
 4,                   DS,asIs,  0.72,  0.63, --  * ----          |                   
 4,               kmeans-3,k3,  0.75,  0.93, --  *   ------      |                   
 4,               kmeans-5,k1,  0.75,  1.44, -   *      ----     |                   
 4,                   RS,LGBM,  0.81,  0.52,  --  *----          |                   
 4,                  DS2,asIs,  0.81,  0.57,  --  * ---          |                   
 4,               kmeans-1,k1,  0.82,  1.38, --   *     ----     |                   
 4,                  DS2,LGBM,  0.83,  0.44,   -  *----          |                   
 4,               kmeans-5,k5,  0.84,  0.89, --   *  ---         |                   
 4,                   DS,LGBM,  0.84,  0.50,  --  *----          |                   
 4,                  non,asIs,  0.86,  0.57,  --  * ---          |                   
 4,                   RS,asIs,  0.91,  0.53,  --  * --           |                   


 ++ d2h differences:
#
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                   non,SVR,  0.00,  0.00, *                   |                   
 0,                    non,LR,  0.00,  0.00, *                   |                   
 0,                    non,RR,  0.00,  0.00, *                   |                   
 0,                   non,LSR,  0.00,  0.00, *                   |                   
 0,                    DS2,RR,  0.00,  0.00, *                   |                   
 0,                     RS,LR,  0.00,  0.00, *                   |                   
 0,                   DS2,LSR,  0.00,  0.00, *                   |                   
 0,                    DS2,LR,  0.00,  0.00, *                   |                   
 0,                    RS,LSR,  0.00,  0.00, *                   |                   
 0,                    DS,LSR,  0.00,  0.00, *                   |                   
 0,                     RS,RR,  0.00,  0.00, *                   |                   
 0,                     DS,RR,  0.00,  0.00, *                   |                   
 0,                     DS,LR,  0.00,  0.00, *                   |                   
 0,                    DS,SVR,  0.00,  0.00, *                   |                   
 0,                   DS2,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,SVR,  0.00,  0.00, *                   |                   
 0,                  DS2,LGBM,  0.00,  0.00, *                   |                   
 0,                   RS,LGBM,  0.00,  0.00, *                   |                   
 0,                   DS,LGBM,  0.00,  0.00, *                   |                   
#
 1,               kmeans-3,k3,  0.18,  0.25,  ---    *      -----|-----              
 1,               kmeans-5,k3,  0.19,  0.25,  ---    *       ----|----               
 1,               kmeans-5,k5,  0.19,  0.23,  ---    *     ------|                   
 1,                   DS,asIs,  0.21,  0.17,   ---    *   -------|                   
 1,                  DS2,asIs,  0.22,  0.14,    ---   *   ------ |                   
 1,               kmeans-1,k1,  0.22,  0.37,  ---     *          |-------            
 1,               kmeans-3,k1,  0.22,  0.38,  ---     *          |-------            
 1,               kmeans-5,k1,  0.22,  0.37,  ---     *          |-------            
 1,                  non,asIs,  0.23,  0.13,     ---   *  ------ |                   
 1,                   RS,asIs,  0.23,  0.13,   -----   *  -----  |                   
