 ++ Standard Residual without abs:
#
 0,                    RS,SVR, -0.00,  0.01,                  *  |                   
 0,                    DS,SVR, -0.00,  0.01,                  *  |                   
 0,                  non,LGBM,  0.00,  0.01,                  *  |                   
 0,                   non,SVR,  0.00,  0.01,                  *  |                   
 0,                   RS,LGBM, -0.00,  0.01,                  *  |                   
 0,                   DS,LGBM, -0.00,  0.01,                  *  |                   
 0,                     RS,LR, -0.00,  0.23,                - *  |                   
 0,                     DS,RR, -0.00,  0.24,                - *  |                   
 0,                     DS,LR, -0.00,  0.22,                  *  |                   
 0,                    DS,LSR, -0.00,  0.23,                - *  |                   
 0,                   non,LSR,  0.00,  0.20,                 -*  |                   
 0,               kmeans-3,k1, -0.01,  0.36,           ------ *--|---                
#
 1,               kmeans-5,k1,  0.01,  0.31,            ----- *--|------             
 1,                    RS,LSR,  0.01,  0.22,                - *  |                   
 1,                     RS,RR,  0.01,  0.21,                  *  |                   
 1,                    non,LR,  0.02,  0.22,                  *  |                   
 1,                    non,RR,  0.02,  0.24,                  *- |                   
 1,               kmeans-1,k1,  0.02,  0.32,             ---- *--|---                
 1,               kmeans-5,k5, -0.06,  0.35,              --- *--|--                 
 1,               kmeans-3,k3, -0.06,  0.36,           ------ *--|--                 
 1,               kmeans-5,k3, -0.08,  0.35,          ------- *--|---                
 1,                   RS,asIs, -0.28,  0.38,               - *---|----               
 1,                  non,asIs, -0.32,  0.37,               -*----|---                
 1,                   DS,asIs, -0.35,  0.46,              - * ---|--                 


 ++ Standard Residual with abs:
#
 0,                    RS,SVR,  0.00,  0.01, *-                  |                   
 0,                    DS,SVR,  0.00,  0.01, *-                  |                   
 0,                   non,SVR,  0.00,  0.01, *-                  |                   
 0,                  non,LGBM,  0.01,  0.01, *                   |                   
 0,                   DS,LGBM,  0.01,  0.01, *                   |                   
 0,                   RS,LGBM,  0.01,  0.01, *                   |                   
#
 1,                    RS,LSR,  0.14,  0.16,  *-                 |                   
 1,                    non,RR,  0.14,  0.15,  *-                 |                   
 1,                     DS,LR,  0.14,  0.14,  *-                 |                   
 1,                    non,LR,  0.15,  0.17,  *-                 |                   
 1,                     DS,RR,  0.15,  0.16,  *--                |                   
 1,                   non,LSR,  0.15,  0.15,  *--                |                   
 1,                    DS,LSR,  0.15,  0.18,  *---               |                   
 1,                     RS,RR,  0.15,  0.14,  *-                 |                   
 1,                     RS,LR,  0.16,  0.16,  *---               |                   
#
 2,               kmeans-1,k1,  0.18,  0.29,  * -----------------|                   
 2,               kmeans-5,k1,  0.19,  0.27,  *----------------  |                   
 2,               kmeans-5,k5,  0.19,  0.42,  *  --------        |                   
 2,               kmeans-3,k1,  0.20,  0.29,  * ---------------  |                   
#
 3,               kmeans-5,k3,  0.21,  0.79,  *     ---------    |                   
 3,               kmeans-3,k3,  0.24,  0.85,  *     ----------   |                   
#
 4,                   RS,asIs,  0.38,  0.37, -  *---------       |                   
#
 5,                  non,asIs,  0.43,  0.34, -- *--------        |                   
#
 6,                   DS,asIs,  0.51,  0.35, -- * -----          |                   


 ++ d2h differences:
#
 0,                   non,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,SVR,  0.00,  0.00, *                   |                   
 0,                    DS,SVR,  0.00,  0.00, *                   |                   
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                   RS,LGBM,  0.00,  0.00, *                   |                   
 0,                   DS,LGBM,  0.00,  0.00, *                   |                   
 0,                     RS,LR,  0.00,  0.00, *                   |                   
 0,                    DS,LSR,  0.00,  0.00, *                   |                   
 0,                    RS,LSR,  0.00,  0.00, *                   |                   
 0,                     DS,RR,  0.00,  0.00, *                   |                   
 0,                    non,LR,  0.00,  0.00, *                   |                   
 0,                     RS,RR,  0.00,  0.00, *                   |                   
 0,                   non,LSR,  0.00,  0.00, *                   |                   
 0,                    non,RR,  0.00,  0.00, *                   |                   
 0,                     DS,LR,  0.00,  0.00, *                   |                   
#
 1,               kmeans-5,k1,  0.04,  0.06,  * -----------------|                   
 1,               kmeans-1,k1,  0.04,  0.06,  * ---------------- |                   
 1,               kmeans-5,k5,  0.04,  0.08,  *  --------        |                   
 1,               kmeans-5,k3,  0.04,  0.15,  *     -----------  |                   
 1,               kmeans-3,k3,  0.05,  0.17,  *      ----------- |                   
 1,               kmeans-3,k1,  0.05,  0.16, - *    -------------|-                  
#
 2,                   RS,asIs,  0.08,  0.07, -- * ---------      |                   
 2,                  non,asIs,  0.09,  0.07, -- * ---------      |                   
#
 3,                   DS,asIs,  0.10,  0.07, --  *---------      |                   
