 ++ Standard Residual without abs:
#
 0,                   non,SVR,  0.00,  0.16,               ---*--|--                 
 0,               kmeans-1,k1, -0.00,  0.54,          ------- *--|----               
 0,                   DS,LGBM,  0.00,  0.02,                  *  |                   
 0,                    RS,SVR,  0.00,  0.24,               ---*--|---                
 0,                   RS,LGBM, -0.00,  0.01,                  *  |                   
 0,                  non,LGBM, -0.00,  0.02,                  *  |                   
 0,                    DS,SVR, -0.00,  0.19,                --*--|--                 
 0,               kmeans-5,k1, -0.00,  0.42,          ------- *--|----               
 0,                    non,RR, -0.00,  0.55,              --- *--|                   
 0,               kmeans-5,k3, -0.01,  0.50,            ----- *--|---                
 0,               kmeans-3,k1, -0.01,  0.49,          ------- *--|-----              
 0,               kmeans-3,k3, -0.02,  0.39,            ----- *--|---                
 0,                    non,LR,  0.02,  0.57,              --- *--|-                  
 0,                   non,LSR, -0.02,  0.59,              --- * -|-                  
#
 1,                     DS,LR,  0.02,  0.55,              --- *--|                   
 1,                    RS,LSR,  0.03,  0.59,              --- *--|                   
 1,               kmeans-5,k5, -0.05,  0.50,            ----  *--|--                 
 1,                     DS,RR, -0.05,  0.56,              --- * -|-                  
 1,                     RS,LR, -0.05,  0.56,              --- *--|-                  
 1,                     RS,RR, -0.06,  0.54,              --- *--|                   
 1,                    DS,LSR, -0.10,  0.56,              --- *--|                   
 1,                  non,asIs, -0.17,  0.55,             ---  *--|---                
 1,                   DS,asIs, -0.18,  0.56,              --  *--|--                 
 1,                   RS,asIs, -0.19,  0.54,              -- * --|--                 


 ++ Standard Residual with abs:
#
 0,                   DS,LGBM,  0.01,  0.05, *                   |                   
 0,                   RS,LGBM,  0.02,  0.05, *                   |                   
 0,                  non,LGBM,  0.02,  0.05, *                   |                   
#
 1,                   non,SVR,  0.14,  0.50,  * -----            |                   
 1,                    RS,SVR,  0.21,  0.73,  *   -----          |                   
 1,                    DS,SVR,  0.22,  0.63,  *  ------          |                   
#
 2,                    RS,LSR,  0.35,  0.49, - *  ----           |                   
 2,                     DS,RR,  0.35,  0.48, - *  ----           |                   
 2,                     RS,RR,  0.36,  0.47, - *  ----           |                   
 2,                    non,RR,  0.36,  0.48, - *  ----           |                   
 2,                   non,LSR,  0.36,  0.50, - *  -----          |                   
 2,                     RS,LR,  0.37,  0.51, - *  ----           |                   
 2,                    non,LR,  0.37,  0.51, - *  ----           |                   
 2,               kmeans-5,k3,  0.37,  0.90,   *    -------      |                   
 2,                    DS,LSR,  0.38,  0.48,   *  ----           |                   
 2,                     DS,LR,  0.38,  0.49, - *  ----           |                   
#
 3,               kmeans-3,k3,  0.41,  0.86,    *   -------      |                   
 3,               kmeans-5,k5,  0.42,  0.74, -  *  --------      |                   
#
 4,               kmeans-1,k1,  0.43,  1.23,    *     -------    |                   
#
 5,               kmeans-5,k1,  0.49,  1.12,    *    ----------  |                   
 5,                  non,asIs,  0.49,  0.70, -  *   -----        |                   
 5,                   DS,asIs,  0.52,  0.56, -- *  -----         |                   
 5,                   RS,asIs,  0.54,  0.54, --  * -----         |                   
 5,               kmeans-3,k1,  0.56,  1.22, -   *     --------- |                   


 ++ d2h differences:
#
 0,                   DS,LGBM,  0.00,  0.00, *                   |                   
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                   RS,LGBM,  0.00,  0.00, *                   |                   
 0,                   non,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,SVR,  0.00,  0.00, *                   |                   
 0,                    DS,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,LSR,  0.00,  0.00, *                   |                   
 0,                     DS,LR,  0.00,  0.00, *                   |                   
 0,                     RS,LR,  0.00,  0.00, *                   |                   
 0,                    non,RR,  0.00,  0.00, *                   |                   
 0,                   non,LSR,  0.00,  0.00, *                   |                   
 0,                     RS,RR,  0.00,  0.00, *                   |                   
 0,                    DS,LSR,  0.00,  0.00, *                   |                   
 0,                     DS,RR,  0.00,  0.00, *                   |                   
 0,                    non,LR,  0.00,  0.00, *                   |                   
#
 1,                   RS,asIs,  0.13,  0.10,  ---   *  -----     |                   
 1,                   DS,asIs,  0.13,  0.10,  ----  *  -----     |                   
 1,               kmeans-3,k3,  0.13,  0.14,  --    *   -------  |                   
 1,               kmeans-5,k3,  0.13,  0.12,  ---   *   -------  |                   
 1,               kmeans-5,k5,  0.14,  0.12,  ---   *   -------  |                   
 1,                  non,asIs,  0.14,  0.10,  ---   *  ------    |                   
#
 2,               kmeans-3,k1,  0.16,  0.16,  ----    *    ------|                   
 2,               kmeans-1,k1,  0.16,  0.16,  ----    *    ------|--                 
 2,               kmeans-5,k1,  0.17,  0.15,  ----    *    ------|-                  
