 ++ Standard Residual without abs:
#
 0,                   non,SVR, -0.00,  0.03,                  -* |                   
 0,                  non,LGBM,  0.00,  0.02,                   * |                   
 0,               kmeans-5,k3, -0.01,  0.65,      ----------   *-|----------         
 0,               kmeans-5,k1, -0.01,  0.39,     ------------  *-|---------          
 0,               kmeans-1,k1,  0.01,  0.49,        ---------- * |-----------        
 0,               kmeans-3,k1,  0.01,  0.44,      ------------ * |----------         
 0,                     RS,LR,  0.02,  0.39,               --- *-|                   
 0,                    DS2,RR, -0.02,  0.39,                -- *-|                   
 0,                     RS,RR, -0.02,  0.36,               --- *-|                   
 0,                    DS2,LR,  0.02,  0.45,                -- *-|                   
 0,               kmeans-3,k3, -0.03,  0.60,        --------   *-|---------          
 0,                     DS,RR,  0.04,  0.37,                -- *-|                   
 0,                     DS,LR,  0.04,  0.38,                -- *-|                   
 0,                   DS2,SVR, -0.04,  0.18,                 - *-|-                  
 0,                    RS,LSR, -0.05,  0.26,                --*--|                   
 0,                    DS,LSR, -0.05,  0.27,                 -* -|                   
 0,                    DS,SVR, -0.06,  0.22,                 -*--|-                  
 0,                    non,LR, -0.06,  0.31,                 -* -|                   
 0,                    non,RR, -0.06,  0.35,                --* -|                   
 0,                    RS,SVR, -0.07,  0.25,                --*--|-                  
 0,                   DS2,LSR, -0.07,  0.28,                 -*--|                   
 0,                   non,LSR, -0.08,  0.30,                --* -|                   
 0,               kmeans-5,k5, -0.22,  0.75,         -----   * --|------             
 0,                   RS,asIs, -0.32,  0.71,             --  * --|-------            
 0,                  DS2,asIs, -0.37,  0.69,              -  *  -|--------           
 0,                  non,asIs, -0.40,  0.40,             -- * ---|-------            
 0,                   DS,asIs, -0.41,  0.72,             -- *  --|-------            
 0,                   DS,LGBM, -0.48,  0.73,                *   -|-------            
 0,                  DS2,LGBM, -0.51,  0.71,              - *  --|--------           
 0,                   RS,LGBM, -0.52,  0.70,              - *  --|-------            


 ++ Standard Residual with abs:
#
 0,                  non,LGBM,  0.02,  0.03, *                   |                   
 0,                   non,SVR,  0.02,  0.04, *                   |                   
#
 1,                   DS2,SVR,  0.15,  0.18,  * -----            |                   
 1,                    DS,SVR,  0.15,  0.18, -* -----            |                   
#
 2,                    DS,LSR,  0.17,  0.20, - *----             |                   
 2,                    non,RR,  0.18,  0.16, - *--               |                   
 2,                    non,LR,  0.19,  0.18, - *---              |                   
 2,                   non,LSR,  0.19,  0.27, - * ---             |                   
 2,                    RS,SVR,  0.20,  0.26, - * -----           |                   
#
 3,                    RS,LSR,  0.21,  0.23, - * -----           |                   
#
