 ++ Standard Residual without abs:
#
 0,                    DS,SVR,  0.00,  0.14,                 ---*|-                  
 0,                  non,LGBM,  0.00,  0.02,                    *|                   
 0,                   RS,LGBM,  0.00,  0.02,                    *|                   
 0,                   DS,LGBM, -0.00,  0.02,                    *|                   
 0,                    RS,SVR, -0.00,  0.17,               ---- *|-                  
 0,               kmeans-5,k5,  0.00,  1.28,           ------   *|  -----            
 0,               kmeans-3,k3, -0.00,  1.27,          ------    *| -----             
 0,                   non,SVR,  0.01,  0.15,                --- *|-                  
 0,               kmeans-5,k3,  0.01,  1.30,           -----    *| -------           
 0,                   non,LSR,  0.01,  0.42,                  - *|-                  
 0,               kmeans-3,k1, -0.02,  1.81,        ------      *|   -----           
 0,                     RS,RR, -0.02,  0.36,                  - *|-                  
 0,                    non,RR, -0.02,  0.43,                 -- *|-                  
 0,               kmeans-1,k1, -0.04,  1.56,          -----     *| -------           
 0,                    non,LR, -0.04,  0.40,                 -- *|-                  
 0,                    DS,LSR, -0.04,  0.45,                 -- *|-                  
 0,                    RS,LSR, -0.05,  0.39,                    *|-                  
 0,                  non,asIs, -0.05,  1.22,            ---     *|-----              
 0,                     DS,RR, -0.05,  0.38,                 -- *|-                  
 0,                     RS,LR, -0.05,  0.37,                    *|-                  
 0,                   DS,asIs, -0.06,  1.18,            ----   * |-----              
 0,                   RS,asIs, -0.07,  1.30,             --    * | -----             
 0,                     DS,LR, -0.08,  0.38,                   *-|-                  
 0,               kmeans-5,k1, -0.11,  1.65,        ------     * | -------           


 ++ Standard Residual with abs:
#
 0,                   DS,LGBM,  0.01,  0.02, *                   |                   
 0,                   RS,LGBM,  0.01,  0.02, *                   |                   
 0,                  non,LGBM,  0.02,  0.02, *                   |                   
#
 1,                   non,SVR,  0.10,  0.24,  * ------           |                   
 1,                    DS,SVR,  0.11,  0.21,  *-------           |                   
#
 2,                    RS,SVR,  0.14,  0.26,  * ------           |                   
 2,                    DS,LSR,  0.25,  0.24, - * --              |                   
 2,                    RS,LSR,  0.25,  0.25, - * --              |                   
 2,                    non,LR,  0.26,  0.26, - * ---             |                   
 2,                     RS,LR,  0.27,  0.23, - * --              |                   
 2,                   non,LSR,  0.27,  0.26, - * --              |                   
 2,                     DS,RR,  0.27,  0.26, - * --              |                   
 2,                    non,RR,  0.27,  0.23, - * --              |                   
 2,                     RS,RR,  0.28,  0.25, -  *--              |                   
 2,                     DS,LR,  0.28,  0.23, -  *---             |                   
#
 3,                  non,asIs,  0.78,  0.77,  ---    *   ------  |                   
 3,               kmeans-5,k5,  0.79,  0.86, ----    *    -------|                   
 3,               kmeans-3,k3,  0.79,  0.87,  ---    *     ------|-                  
 3,                   RS,asIs,  0.81,  0.73,  ---    *   ------  |                   
#
 4,                   DS,asIs,  0.82,  0.69,  ----   *   -----   |                   
 4,               kmeans-5,k3,  0.85,  0.80,  ---     *   -------|                   
#
 5,               kmeans-1,k1,  1.02,  0.95, -----     *    -----|----               
 5,               kmeans-5,k1,  1.03,  1.23,  ---       *      --|------             
 5,               kmeans-3,k1,  1.05,  0.96,  ----      *    ----|-----              


 ++ d2h differences:
#
 0,                   DS,LGBM,  0.01,  0.01, *                   |                   
 0,                   RS,LGBM,  0.01,  0.01, *                   |                   
 0,                  non,LGBM,  0.01,  0.01, *                   |                   
#
 1,                     RS,LR,  0.10,  0.08,  --  * -----        |                   
 1,                     DS,RR,  0.10,  0.08,  --  * -----        |                   
 1,                    non,LR,  0.10,  0.08,  --  * -----        |                   
 1,                   non,LSR,  0.10,  0.07,  --  * -----        |                   
 1,                     RS,RR,  0.10,  0.08,  --  *  -----       |                   
 1,                    RS,LSR,  0.10,  0.08, ---  * -----        |                   
 1,                     DS,LR,  0.11,  0.08,  --  * -----        |                   
 1,                    DS,LSR,  0.11,  0.08,  --  *  ----        |                   
 1,                    non,RR,  0.11,  0.07,  --  * -----        |                   
#
 2,                    DS,SVR,  0.15,  0.17, --     *   -------- |                   
 2,                   non,SVR,  0.16,  0.18, --      *   --------|--                 
 2,               kmeans-3,k3,  0.16,  0.23,  --     *       ----|-                  
 2,               kmeans-5,k3,  0.17,  0.23,  --      *      ----|-                  
 2,               kmeans-5,k5,  0.17,  0.23,  --      *     -----|--                 
 2,                   DS,asIs,  0.18,  0.11,   -----  *  ------- |                   
 2,                  non,asIs,  0.18,  0.12,   ----   *  -----   |                   
 2,                   RS,asIs,  0.18,  0.11,    ----  *   -----  |                   
 2,                    RS,SVR,  0.19,  0.19, --        * --------|                   
#
 3,               kmeans-3,k1,  0.21,  0.22,  ----      *     ---|----               
#
 4,               kmeans-1,k1,  0.24,  0.25,  ---         *    --|-----              
 4,               kmeans-5,k1,  0.25,  0.27,  ---         *     -|--------           
