 ++ Standard Residual without abs:
#
 0,                  non,LGBM,  0.00,  0.02,                    *|                   
 0,                   RS,LGBM, -0.00,  0.02,                    *|                   
 0,                   DS,LGBM, -0.00,  0.02,                    *|                   
 0,                    RS,SVR, -0.00,  0.27,                --- *|--                 
 0,                    DS,SVR,  0.00,  0.28,                ----*|---                
 0,               kmeans-5,k1,  0.01,  1.18,         --------   *| --------          
 0,                    non,LR,  0.02,  0.35,                  - *|-                  
 0,               kmeans-3,k3,  0.02,  1.23,           ------   *|  ------           
 0,                   non,SVR, -0.02,  0.24,                --- *|---                
 0,                     DS,LR,  0.03,  0.42,                  - *|-                  
 0,                     RS,LR,  0.03,  0.38,                 -- *|-                  
 0,                     RS,RR,  0.04,  0.39,                  - *|-                  
 0,                     DS,RR,  0.04,  0.41,                 -- *|-                  
 0,                    RS,LSR, -0.04,  0.52,                 -- *|--                 
 0,               kmeans-3,k1, -0.05,  1.25,          ------    *| -------           
 0,                    non,RR,  0.05,  0.44,                  -  *-                  
 0,               kmeans-1,k1, -0.08,  1.37,          ------    *| -------           
 0,               kmeans-5,k3, -0.09,  1.06,           ------   *| -----             
 0,                    DS,LSR, -0.09,  0.52,                 -- *|---                
 0,                   non,LSR, -0.09,  0.50,                 -- *|--                 
 0,                  non,asIs, -0.22,  1.45,              --   * |  -----            
 0,                   DS,asIs, -0.23,  1.32,              --   * | -------           
 0,               kmeans-5,k5, -0.23,  1.32,          ------   * | ------            
 0,                   RS,asIs, -0.24,  1.35,              --   * | ------            


 ++ Standard Residual with abs:
#
 0,                   RS,LGBM,  0.01,  0.02, *                   |                   
 0,                  non,LGBM,  0.01,  0.03, *                   |                   
 0,                   DS,LGBM,  0.01,  0.03, *                   |                   
#
 1,                   non,SVR,  0.19,  0.50,  *    ------        |                   
 1,                    RS,SVR,  0.20,  0.51,   *   -------       |                   
#
 2,                    DS,SVR,  0.23,  0.54,   *   -------       |                   
 2,                    non,RR,  0.24,  0.27, - * ---             |                   
#
 3,                     RS,RR,  0.25,  0.30, - * ---             |                   
 3,                     RS,LR,  0.28,  0.27, - * ---             |                   
 3,                     DS,RR,  0.28,  0.28, - * ----            |                   
 3,                     DS,LR,  0.28,  0.31, - * -----           |                   
 3,                    non,LR,  0.28,  0.24, - * ---             |                   
 3,                    RS,LSR,  0.33,  0.34, -- * ----           |                   
#
 4,                   non,LSR,  0.35,  0.34, -  * ----           |                   
 4,                    DS,LSR,  0.36,  0.32, -- * ----           |                   
#
 5,               kmeans-5,k5,  0.69,  0.82,  --    *    --------|                   
#
 6,               kmeans-3,k3,  0.74,  0.88,  ---   *     -------|                   
 6,               kmeans-5,k3,  0.75,  0.96,  ---   *     -------|-                  
 6,                  non,asIs,  0.83,  0.52,   ---   *  -------  |                   
 6,                   RS,asIs,  0.85,  0.53,  ----   *  -----    |                   
 6,                   DS,asIs,  0.87,  0.56,   ---    * ------   |                   
 6,               kmeans-1,k1,  0.90,  1.24, ----     *       ---|-----              
 6,               kmeans-3,k1,  0.92,  1.25,  ---     *       ---|---                
 6,               kmeans-5,k1,  0.96,  1.28, ----     *       ---|-----              


 ++ d2h differences:
#
 0,               kmeans-5,k5,  0.12,  0.13, *                   |                   
 0,                   DS,asIs,  0.12,  0.08, *                   |                   
 0,               kmeans-5,k3,  0.13,  0.12, *                   |                   
 0,               kmeans-3,k3,  0.13,  0.13, *                   |                   
 0,                  non,asIs,  0.13,  0.08, *                   |                   
 0,                   RS,asIs,  0.13,  0.09, *                   |                   
#
 1,               kmeans-3,k1,  0.16,  0.16, *                   |                   
 1,               kmeans-5,k1,  0.16,  0.16, *                   |                   
#
 2,               kmeans-1,k1,  0.17,  0.17, *                   |                   
#
 3,                   RS,LGBM, 26.59, 36.35, *                   |                   
 3,                  non,LGBM, 27.11, 38.74, *                   |                   
#
 4,                   DS,LGBM, 28.51, 48.53, *                   |                   
#
 5,                    non,RR, 1179.40, 1201.01, -- * ----           |                   
 5,                    DS,LSR, 1212.61, 1239.66, -- * ---            |                   
 5,                     DS,RR, 1234.74, 1200.32, -- * ----           |                   
 5,                     RS,RR, 1256.57, 1184.12, -- * ----           |                   
 5,                    non,LR, 1270.91, 1363.17, -- *  ---           |                   
 5,                    RS,LSR, 1275.48, 1478.99, -- *  ---           |                   
 5,                     DS,LR, 1329.18, 1223.28, -- * ---            |                   
 5,                   non,LSR, 1381.63, 1254.80, --  *----           |                   
#
 6,                     RS,LR, 1389.87, 1392.26, --  * ---           |                   
#
 7,                   non,SVR, 3439.47, 3339.51, ----      *   ------|----               
#
 8,                    RS,SVR, 3515.97, 2928.02, -----     *  -------|----               
 8,                    DS,SVR, 3725.06, 2411.11, ------    *  -------|----------         
