 ++ Standard Residual without abs:
#
 0,                    DS,SVR,  0.00,  0.78,                 -- *|---                
 0,                    DS2,RR, -0.00,  0.14,                   -*|                   
 0,                   DS,LGBM, -0.00,  0.22,                  - *|-                  
 0,                   non,LSR,  0.00,  0.13,                   -*|                   
 0,                     RS,RR,  0.00,  0.13,                   -*|                   
 0,                     DS,LR,  0.00,  0.11,                   -*|                   
 0,                     RS,LR,  0.00,  0.13,                   -*|                   
 0,                    DS,LSR, -0.01,  0.11,                   -*|                   
 0,                  DS2,LGBM,  0.01,  0.21,                  - *|-                  
 0,                    non,RR,  0.01,  0.13,                   -*|                   
 0,                    DS2,LR,  0.01,  0.11,                   -*|                   
 0,               kmeans-3,k1,  0.01,  1.44,            -----   *| -----             
 0,                     DS,RR,  0.01,  0.11,                   -*|                   
 0,                    RS,LSR, -0.01,  0.12,                   -*|                   
 0,               kmeans-5,k3,  0.01,  1.17,              ----  *|----               
 0,                   DS2,LSR, -0.01,  0.13,                    *|                   
 0,                    non,LR,  0.02,  0.12,                   -*|                   
 0,                  non,LGBM,  0.02,  0.08,                   -*|                   
 0,                   non,SVR,  0.02,  0.25,                    *|--                 
 0,                  DS2,asIs,  0.02,  1.03,               ---  *|----               
 0,               kmeans-3,k3, -0.03,  1.19,              ---   *|----               
 0,               kmeans-5,k1,  0.03,  1.34,            -----   *| -----             
 0,                   RS,LGBM, -0.03,  0.22,                 -- *|-                  
 0,                    RS,SVR, -0.04,  0.64,                --  *|--                 
 0,                   DS2,SVR, -0.05,  0.64,                 -- *|---                
 0,               kmeans-5,k5, -0.06,  1.16,              ---   *|----               
 0,                   DS,asIs,  0.07,  1.45,               ---  *|  --               
 0,               kmeans-1,k1,  0.11,  1.50,             -----  *|  ----             
 0,                   RS,asIs, -0.12,  1.28,              ---  * |----               
 0,                  non,asIs, -0.27,  1.17,              ---  * |---                


 ++ Standard Residual with abs:
#
 0,                  non,LGBM,  0.06,  0.05, *                   |                   
#
 1,                     DS,RR,  0.07,  0.09, *                   |                   
 1,                    non,RR,  0.08,  0.08, *                   |                   
 1,                     DS,LR,  0.08,  0.08, *                   |                   
 1,                    DS2,LR,  0.08,  0.08, *                   |                   
 1,                    non,LR,  0.08,  0.09, *                   |                   
 1,                    DS2,RR,  0.08,  0.09, *                   |                   
 1,                   non,LSR,  0.08,  0.12, *--                 |                   
 1,                     RS,RR,  0.08,  0.10, *-                  |                   
 1,                     RS,LR,  0.09,  0.10, *-                  |                   
 1,                    RS,LSR,  0.09,  0.13, *---                |                   
