 ++ Standard Residual without abs:
#
 0,                  non,LGBM, -0.00,  0.00,                  *  |                   
 0,                    RS,SVR,  0.00,  0.00,                  *  |                   
 0,                   non,SVR, -0.00,  0.00,                  *  |                   
 0,                    DS,SVR, -0.00,  0.00,                  *  |                   
 0,               kmeans-5,k1, -0.00,  1.55,       ------     *  | -------           
 0,                   RS,LGBM, -0.00,  0.01,                  *  |                   
 0,                    non,RR, -0.00,  0.16,                - *- |                   
 0,                   DS,LGBM, -0.00,  0.01,                  *  |                   
 0,                     RS,LR, -0.00,  0.13,                - *- |                   
 0,                    non,LR, -0.00,  0.15,                - *- |                   
 0,                     DS,LR, -0.00,  0.16,                - *- |                   
 0,                    RS,LSR, -0.01,  0.12,                - *- |                   
 0,                    DS,LSR, -0.01,  0.12,                - *- |                   
 0,                     DS,RR, -0.01,  0.12,                - *- |                   
 0,                   non,LSR,  0.01,  0.14,                --*- |                   
 0,                     RS,RR, -0.01,  0.14,                - *- |                   
 0,               kmeans-5,k3, -0.01,  1.26,         -----    *  |-------            
 0,               kmeans-3,k1, -0.04,  1.47,        -----     *  | --------          
 0,               kmeans-3,k3, -0.07,  1.38,        -----    *   |-------            
 0,               kmeans-5,k5,  0.09,  1.17,          -----   *  |-------            
 0,               kmeans-1,k1,  0.09,  1.66,        ------     * |  -------          
 0,                  non,asIs, -0.09,  1.40,         ---     *   |-----              
 0,                   RS,asIs, -0.10,  1.43,         ----    *   |------             
 0,                   DS,asIs,  0.14,  1.45,         ----      * |------             


 ++ Standard Residual with abs:
#
 0,                    RS,SVR,  0.00,  0.00, *                   |                   
 0,                    DS,SVR,  0.00,  0.00, *                   |                   
 0,                   non,SVR,  0.00,  0.00, *                   |                   
 0,                   RS,LGBM,  0.00,  0.00, *                   |                   
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                   DS,LGBM,  0.00,  0.00, *                   |                   
#
 1,                     DS,RR,  0.08,  0.20, * --                |                   
 1,                     DS,LR,  0.09,  0.18, * --                |                   
 1,                     RS,LR,  0.09,  0.20,  *--                |                   
 1,                   non,LSR,  0.09,  0.20,  *--                |                   
 1,                     RS,RR,  0.09,  0.20,  *--                |                   
 1,                    DS,LSR,  0.10,  0.22,  * -                |                   
 1,                    non,RR,  0.10,  0.19,  *--                |                   
 1,                    non,LR,  0.10,  0.19,  *--                |                   
 1,                    RS,LSR,  0.10,  0.22,  * -                |                   
#
 2,               kmeans-5,k3,  0.73,  0.82,  ---    *     ------|--                 
 2,               kmeans-3,k3,  0.75,  0.74,  ----   *    -------|--                 
 2,               kmeans-5,k5,  0.83,  0.75,  ----    *    ------|                   
 2,                   RS,asIs,  0.83,  0.68,   ---    *   ----   |                   
 2,                   DS,asIs,  0.83,  0.70,  ----    *   ------ |                   
 2,                  non,asIs,  0.92,  0.61,  -----    *  -----  |                   
#
 3,               kmeans-5,k1,  0.99,  0.93,  ----      *    ----|----               
 3,               kmeans-3,k1,  1.00,  1.03,  ----      *     ---|-----              
 3,               kmeans-1,k1,  1.05,  0.86,  -----      *   ----|----               


 ++ d2h differences:
#
 0,                   non,SVR,  0.00,  0.00, *                   |                   
 0,                    DS,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,SVR,  0.00,  0.00, *                   |                   
 0,                   RS,LGBM,  0.00,  0.00, *                   |                   
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                   DS,LGBM,  0.00,  0.00, *                   |                   
 0,                   non,LSR,  0.00,  0.00, *                   |                   
 0,                    non,LR,  0.00,  0.00, *                   |                   
 0,                    DS,LSR,  0.00,  0.00, *                   |                   
 0,                     RS,RR,  0.00,  0.00, *                   |                   
 0,                     DS,LR,  0.00,  0.00, *                   |                   
 0,                    RS,LSR,  0.00,  0.00, *                   |                   
 0,                     RS,LR,  0.00,  0.00, *                   |                   
 0,                     DS,RR,  0.00,  0.00, *                   |                   
 0,                    non,RR,  0.00,  0.00, *                   |                   
#
 1,               kmeans-3,k3,  0.21,  0.23,  ---    *     ------|--                 
 1,               kmeans-5,k5,  0.22,  0.23,  ---     *    ------|-                  
 1,                   RS,asIs,  0.23,  0.20,  ----    *    ----  |                   
 1,                  non,asIs,  0.23,  0.17,  ----    *  ------  |                   
 1,               kmeans-5,k3,  0.23,  0.20,  ----    *   -------|--                 
 1,                   DS,asIs,  0.24,  0.16,   ----    *  -----  |                   
#
 2,               kmeans-5,k1,  0.28,  0.27,  ----      *    ----|----               
 2,               kmeans-3,k1,  0.29,  0.26,  -----     *     ---|----               
 2,               kmeans-1,k1,  0.29,  0.26,  ----       *   ----|----               
