 ++ Standard Residual without abs:
#
 0,                   DS2,LSR,  0.00,  0.95,               -   *-|                   
 0,                  non,LGBM, -0.00,  0.03,                   * |                   
 0,               kmeans-5,k1,  0.00,  1.74,         ------    * |-----              
 0,                    DS2,LR,  0.02,  0.88,               --  * |-                  
 0,                  DS2,LGBM,  0.02,  0.43,                -- *-|                   
 0,               kmeans-3,k3,  0.02,  1.28,             ----  * |----               
 0,               kmeans-5,k3, -0.02,  1.40,            ----   * |----               
 0,                   RS,LGBM,  0.03,  0.62,                -- *-|                   
 0,                  DS2,asIs,  0.03,  1.35,               --  * |---                
 0,                   DS,asIs,  0.04,  1.27,               --  * |----               
 0,                   DS,LGBM,  0.04,  0.48,                -- *-|                   
 0,                    RS,SVR,  0.05,  1.47,              --   * |----               
 0,                     DS,LR,  0.05,  0.93,               --  * |-                  
 0,                    DS,LSR,  0.07,  0.86,               --  * |-                  
 0,                     DS,RR,  0.08,  0.79,               --  * |-                  
 0,                  non,asIs, -0.08,  1.41,               -   * |---                
 0,                     RS,LR,  0.08,  1.02,              ---  * |-                  
 0,                    DS2,RR,  0.08,  0.81,               --  *-|                   
 0,                   non,SVR,  0.08,  1.36,               -   * |---                
 0,                     RS,RR,  0.08,  1.02,               --  * |-                  
 0,               kmeans-1,k1, -0.09,  1.81,         -----     * |----               
 0,                   non,LSR,  0.09,  0.95,               --  * |-                  
 0,               kmeans-3,k1, -0.10,  1.72,         -----     * |----               
 0,                    non,LR,  0.10,  1.09,               -   * |-                  
 0,                   RS,asIs, -0.11,  1.35,              --   * |---                
 0,                    RS,LSR,  0.13,  0.93,              ---   *|--                 
 0,                    non,RR,  0.18,  0.83,               ---  *|-                  
 0,               kmeans-5,k5, -0.20,  1.09,             ---  * -|---                
 0,                   DS2,SVR,  0.43,  1.25,                  -  *  ---              
 0,                    DS,SVR,  0.65,  1.31,                  -  |* ---              


 ++ Standard Residual with abs:
#
 0,                  non,LGBM,  0.02,  0.04, *                   |                   
#
 1,                  DS2,LGBM,  0.30,  0.34, - * -----           |                   
#
 2,                   DS,LGBM,  0.33,  0.37, - * ------          |                   
#
 3,                   RS,LGBM,  0.40,  0.47, -  *  ----          |                   
#
 4,                    DS2,RR,  0.51,  0.47, --  * ---           |                   
 4,                     DS,LR,  0.52,  0.62, --  *  ----         |                   
 4,                    DS2,LR,  0.53,  0.51, --  * ----          |                   
#
 5,                   DS2,LSR,  0.56,  0.53, --   * ----         |                   
 5,                    DS,LSR,  0.57,  0.55, --   * ---          |                   
 5,                     DS,RR,  0.57,  0.54, --   * ---          |                   
 5,                   non,LSR,  0.58,  0.54, --   * ---          |                   
 5,                     RS,LR,  0.58,  0.56, ---  *  ---         |                   
 5,                    non,RR,  0.60,  0.52, --   * ---          |                   
 5,                   DS2,SVR,  0.61,  1.02, --   *     ------   |                   
 5,                     RS,RR,  0.62,  0.56,  --  *  ----        |                   
 5,                    non,LR,  0.62,  0.52,  --  * ---          |                   
 5,                    RS,LSR,  0.64,  0.59, ---  *  ----        |                   
#
 6,                    DS,SVR,  0.66,  1.07, --   *     -------- |                   
 6,                   DS,asIs,  0.73,  0.50,  ---  * -------     |                   
 6,               kmeans-5,k5,  0.75,  0.80,  --   *   -----     |                   
 6,                  DS2,asIs,  0.77,  0.47,   --- *  -----      |                   
 6,                   non,SVR,  0.78,  0.30,  ---- * ----        |                   
#
 7,                    RS,SVR,  0.80,  0.63,  ---   *  ----      |                   
 7,                   RS,asIs,  0.85,  0.57,  ---   * ----       |                   
 7,                  non,asIs,  0.86,  0.46,   ---  * ----       |                   
 7,               kmeans-5,k3,  0.87,  0.85, ----   *   -----    |                   
#
 8,               kmeans-3,k3,  0.92,  0.80, ----    *  -------  |                   
#
 9,               kmeans-1,k1,  1.13,  1.14,  ---      *   ------|-                  
#
10,               kmeans-5,k1,  1.17,  1.16,  ----     *    -----|---                
10,               kmeans-3,k1,  1.20,  1.17,  ----     *     ----|---                


 ++ d2h differences:
#
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                  DS2,LGBM,  0.00,  0.00, *                   |                   
 0,                   DS,LGBM,  0.00,  0.00, *                   |                   
 0,                   RS,LGBM,  0.00,  0.00, *                   |                   
 0,                    DS2,RR,  0.00,  0.00, *                   |                   
 0,                    DS,LSR,  0.00,  0.00, *                   |                   
 0,                   DS2,LSR,  0.00,  0.00, *                   |                   
 0,                     DS,LR,  0.00,  0.00, *                   |                   
 0,                    non,LR,  0.00,  0.00, *                   |                   
 0,                    DS2,LR,  0.00,  0.00, *                   |                   
 0,                     DS,RR,  0.00,  0.00, *                   |                   
 0,                     RS,RR,  0.00,  0.00, *                   |                   
 0,                   non,LSR,  0.00,  0.00, *                   |                   
 0,                    non,RR,  0.00,  0.00, *                   |                   
 0,                   DS2,SVR,  0.00,  0.00, *                   |                   
 0,                     RS,LR,  0.00,  0.00, *                   |                   
 0,                    RS,LSR,  0.00,  0.00, *                   |                   
 0,                    DS,SVR,  0.00,  0.00, *                   |                   
 0,                   non,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,SVR,  0.00,  0.00, *                   |                   
#
 1,                   DS,asIs,  0.14,  0.09,  ---  * -----       |                   
#
 2,                  DS2,asIs,  0.16,  0.09,   ---  * ----       |                   
 2,                   RS,asIs,  0.17,  0.10,  ----  * ----       |                   
 2,                  non,asIs,  0.17,  0.08,  ----  * ----       |                   
 2,               kmeans-5,k5,  0.17,  0.17,  --    *   ----     |                   
 2,               kmeans-3,k3,  0.17,  0.15, ----   *   -------  |                   
 2,               kmeans-5,k3,  0.18,  0.17, ----    *   ------  |                   
#
 3,               kmeans-5,k1,  0.22,  0.24, ----     *    ------|--                 
 3,               kmeans-3,k1,  0.23,  0.22, -----     *    -----|---                
 3,               kmeans-1,k1,  0.23,  0.24, ----      *    -----|--                 
