"non,RR",0.3
"non,LR",0.34
"non,LSR",0.41
"non,asIs",1.04
"non,LGBM",12.88
"kmeans-1,k1",19.76
"RS,LR",20.82
"RS,RR",20.82
"RS,LSR",20.83
"RS,asIs",21.58
"RS,SVR",21.71
"RS,LGBM",21.79
"kmeans-3,k1",22.89
"kmeans-5,k1",24.9
"kmeans-3,k3",26.32
"kmeans-5,k3",28.33
"kmeans-5,k5",31.18
"DS,LR",39.44
"DS,LSR",39.45
"DS,RR",39.45
"DS,asIs",40.21
"DS,SVR",40.45
"DS,LGBM",40.53
"DS2,LR",78.74
"DS2,LSR",78.75
"DS2,RR",78.75
"DS2,asIs",79.51
"DS2,LGBM",79.68
"DS2,SVR",79.74
"non,SVR",1593.78
