"non,RR",0.29
"non,LR",0.34
"non,LSR",0.36
"non,asIs",1.01
"non,LGBM",9.08
"kmeans-1,k1",19.67
"RS,LR",21.04
"RS,RR",21.04
"RS,LSR",21.05
"RS,SVR",21.78
"RS,asIs",21.8
"RS,LGBM",22.03
"kmeans-3,k1",22.75
"kmeans-5,k1",24.87
"kmeans-3,k3",26.11
"kmeans-5,k3",28.22
"kmeans-5,k5",30.96
"DS,LR",39.53
"DS,LSR",39.53
"DS,RR",39.53
"DS,asIs",40.31
"DS,SVR",40.35
"DS,LGBM",40.47
"DS2,LR",78.63
"DS2,LSR",78.63
"DS2,RR",78.63
"DS2,asIs",79.39
"DS2,SVR",79.43
"DS2,LGBM",79.58
"non,SVR",1253.76
