 ++ Standard Residual without abs:
#
 0,                    RS,SVR,  0.00,  0.65,              ---- * |--                 
 0,                    DS,SVR, -0.00,  0.62,              ---- *-|--                 
 0,                  non,asIs, -0.01,  0.75,              ---- * |--                 
 0,                   RS,asIs, -0.01,  0.88,              ---  * |--                 
 0,                   non,SVR, -0.01,  0.55,              ---- *-|--                 
 0,                   DS,LGBM, -0.02,  0.29,                 --*-|                   
 0,                   RS,LGBM, -0.02,  0.32,                -- *-|                   
 0,                  non,LGBM, -0.02,  0.33,                 - *-|                   
 0,                    DS,LSR,  0.02,  0.75,               --- * |-                  
 0,                     DS,LR,  0.02,  0.76,               --- * |-                  
 0,                    RS,LSR,  0.02,  0.80,              ---- * |-                  
 0,                     DS,RR,  0.03,  0.84,               --  * |-                  
 0,                   DS,asIs, -0.03,  0.71,              ---  * |-                  
 0,                     RS,RR,  0.04,  0.82,              ---- * |-                  
 0,                     RS,LR,  0.04,  0.78,               --- * |--                 
 0,               kmeans-5,k1, -0.07,  0.99,             ----  * |---                
#
 1,                    non,LR,  0.08,  0.81,               ---  *|-                  
 1,                    non,RR,  0.08,  0.85,              ----  *|-                  
#
 2,                   non,LSR,  0.10,  0.83,               ---  *|-                  
 2,               kmeans-3,k1, -0.11,  1.07,             ---   * |---                
 2,               kmeans-1,k1, -0.12,  1.04,             ---   * |---                
 2,               kmeans-3,k3, -0.14,  1.43,           ----    * |---                
 2,               kmeans-5,k3, -0.17,  1.43,           ----    * |---                
 2,               kmeans-5,k5, -0.43,  1.17,          ----   *  -|--                 


 ++ Standard Residual with abs:
#
 0,                   DS,LGBM,  0.20,  0.28,  * ---              |                   
 0,                   RS,LGBM,  0.23,  0.30,  * ---              |                   
 0,                  non,LGBM,  0.24,  0.28,  * ----             |                   
#
 1,                   DS,asIs,  0.49,  0.74, -   *  ----         |                   
 1,                   non,SVR,  0.50,  0.81, -   *  ----         |                   
 1,                    RS,LSR,  0.51,  0.53, --  * ----          |                   
 1,                    non,LR,  0.51,  0.53, --  * -----         |                   
 1,                    RS,SVR,  0.51,  0.84, -   *   ---         |                   
 1,                     DS,RR,  0.51,  0.51, --  * -----         |                   
 1,                    DS,LSR,  0.52,  0.52, --  * ----          |                   
 1,                     RS,LR,  0.52,  0.59, --  *  ---          |                   
 1,                   non,LSR,  0.52,  0.50, --  * ----          |                   
 1,                     RS,RR,  0.52,  0.57, --  * ----          |                   
#
 2,                    DS,SVR,  0.53,  0.81, -   *   --          |                   
 2,                    non,RR,  0.54,  0.47, --  * ----          |                   
 2,                     DS,LR,  0.54,  0.48, --  * ----          |                   
 2,                   RS,asIs,  0.56,  0.67, --  *  -----        |                   
 2,                  non,asIs,  0.57,  0.71, --  *  -----        |                   
#
 3,               kmeans-5,k5,  0.78,  0.99, ---   *    -------- |                   
 3,               kmeans-1,k1,  0.79,  0.92, ---   *   -----     |                   
 3,               kmeans-5,k1,  0.81,  0.92, ---   *   ------    |                   
#
 4,               kmeans-3,k1,  0.84,  0.90, ---   *   ------    |                   
 4,               kmeans-5,k3,  0.86,  1.01,  --    *   -------- |                   
 4,               kmeans-3,k3,  0.90,  0.92,  --    *  --------  |                   


 ++ d2h differences:
#
 0,                   DS,LGBM,  0.00,  0.00, *                   |                   
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                   RS,LGBM,  0.00,  0.00, *                   |                   
 0,                   non,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,SVR,  0.00,  0.00, *                   |                   
 0,                    DS,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,LSR,  0.00,  0.00, *                   |                   
 0,                     DS,RR,  0.00,  0.00, *                   |                   
 0,                    non,LR,  0.00,  0.00, *                   |                   
 0,                    DS,LSR,  0.00,  0.00, *                   |                   
 0,                   non,LSR,  0.00,  0.00, *                   |                   
 0,                     RS,LR,  0.00,  0.00, *                   |                   
 0,                     DS,LR,  0.00,  0.00, *                   |                   
 0,                     RS,RR,  0.00,  0.00, *                   |                   
 0,                    non,RR,  0.00,  0.00, *                   |                   
#
 1,                   RS,asIs,  0.10,  0.12, --  *  ----         |                   
 1,                   DS,asIs,  0.11,  0.14, --  *   ---         |                   
 1,                  non,asIs,  0.11,  0.14, --  *   ----        |                   
#
 2,               kmeans-5,k1,  0.15,  0.16, ---   *  ------     |                   
 2,               kmeans-1,k1,  0.15,  0.18, --    *   -----     |                   
 2,               kmeans-3,k1,  0.16,  0.18, ---   *   -----     |                   
 2,               kmeans-3,k3,  0.17,  0.18,  --    *   -------  |                   
 2,               kmeans-5,k5,  0.17,  0.18,  --    *   ---------|                   
 2,               kmeans-5,k3,  0.17,  0.18,  --    *  -------   |                   
