 ++ Standard Residual without abs:
#
 0,                  non,LGBM, -0.00,  0.07,                   * |                   
 0,                   RS,LGBM, -0.00,  0.06,                   * |                   
 0,                    DS,LSR,  0.00,  1.17,              --   * |---                
 0,                   DS,LGBM, -0.01,  0.05,                   * |                   
 0,                    RS,SVR, -0.01,  0.97,               --  * |---                
 0,                   non,SVR, -0.01,  1.00,               --  * |---                
 0,               kmeans-3,k1, -0.01,  1.79,       -------     * | ------            
 0,               kmeans-5,k5, -0.01,  1.24,             ---   * |------             
 0,                    non,LR, -0.02,  1.31,              --   * |---                
 0,               kmeans-3,k3, -0.02,  1.25,           -----   * |-----              
 0,                    RS,LSR, -0.02,  1.22,              --   * |---                
 0,               kmeans-5,k1,  0.03,  1.62,        -------    * | -----             
 0,                    non,RR,  0.06,  1.21,              --   * |---                
 0,                     RS,LR, -0.07,  1.23,              --   * |--                 
 0,               kmeans-1,k1,  0.08,  1.65,         ------     *| ------            
 0,                    DS,SVR,  0.10,  1.05,               --   *|----               
 0,                     DS,LR, -0.10,  1.08,              --   * |---                
 0,                   DS,asIs, -0.10,  1.20,             ---   * |----               
 0,                     DS,RR, -0.13,  1.17,              --   * |---                
 0,               kmeans-5,k3, -0.14,  1.11,            ----  *  |-----              
 0,                   RS,asIs, -0.16,  1.21,             ---  *  |----               
 0,                     RS,RR, -0.17,  1.07,              --  *  |---                
 0,                   non,LSR, -0.20,  1.17,              --  *  |---                
 0,                  non,asIs, -0.27,  1.22,             --   *  |---                


 ++ Standard Residual with abs:
#
 0,                  non,LGBM,  0.05,  0.07, *-                  |                   
 0,                   DS,LGBM,  0.05,  0.08, *-                  |                   
 0,                   RS,LGBM,  0.05,  0.07, *-                  |                   
#
 1,                   non,SVR,  0.59,  0.59, --   *  ---         |                   
 1,                    DS,SVR,  0.62,  0.57, --   *  ----        |                   
 1,                   non,LSR,  0.63,  0.48,  --  *  ----        |                   
#
 2,                    RS,SVR,  0.66,  0.51, ---   * ----        |                   
 2,                    RS,LSR,  0.68,  0.54,  --   * ----        |                   
 2,                    non,LR,  0.69,  0.48,  ---  * ----        |                   
 2,                     RS,LR,  0.69,  0.51,  --   * ----        |                   
 2,                     DS,RR,  0.69,  0.49,  ---  *  ---        |                   
 2,                    DS,LSR,  0.69,  0.47,  ---  * -----       |                   
 2,                   DS,asIs,  0.70,  0.66,  --   *  ----       |                   
 2,                     RS,RR,  0.71,  0.52,  ---  * ----        |                   
 2,                    non,RR,  0.71,  0.50,  ---  *  ---        |                   
 2,                   RS,asIs,  0.72,  0.66,  --   *   ----      |                   
 2,                     DS,LR,  0.73,  0.48,   --  *  ---        |                   
#
 3,               kmeans-5,k5,  0.74,  0.76,  --   *   -------   |                   
 3,                  non,asIs,  0.74,  0.58,  ---  *  ------     |                   
#
 4,               kmeans-5,k3,  0.88,  0.81,  ---    *  -------  |                   
 4,               kmeans-3,k3,  0.88,  0.81,  ---    *  -------  |                   
#
 5,               kmeans-3,k1,  1.07,  1.07,  ----    *     -----|----               
 5,               kmeans-1,k1,  1.20,  1.16,  ----      *    ----|-----              
#
 6,               kmeans-5,k1,  1.21,  1.22,  ----      *    ----|-----              


 ++ d2h differences:
#
 0,                  non,LGBM,  0.00,  0.00, *                   |                   
 0,                   DS,LGBM,  0.00,  0.00, *                   |                   
 0,                   RS,LGBM,  0.00,  0.00, *                   |                   
 0,                    DS,SVR,  0.00,  0.00, *                   |                   
 0,                   non,SVR,  0.00,  0.00, *                   |                   
 0,                    RS,SVR,  0.00,  0.00, *                   |                   
 0,                     RS,RR,  0.00,  0.00, *                   |                   
 0,                   non,LSR,  0.00,  0.00, *                   |                   
 0,                     RS,LR,  0.00,  0.00, *                   |                   
 0,                    non,LR,  0.00,  0.00, *                   |                   
 0,                    non,RR,  0.00,  0.00, *                   |                   
 0,                     DS,LR,  0.00,  0.00, *                   |                   
 0,                    RS,LSR,  0.00,  0.00, *                   |                   
 0,                     DS,RR,  0.00,  0.00, *                   |                   
 0,                    DS,LSR,  0.00,  0.00, *                   |                   
#
 1,               kmeans-5,k5,  0.15,  0.16,  --   *   -----     |                   
 1,                   DS,asIs,  0.15,  0.14,  --   *  ----       |                   
 1,                   RS,asIs,  0.15,  0.13,  --   *  -----      |                   
#
 2,                  non,asIs,  0.17,  0.12,  ---   * ----       |                   
 2,               kmeans-3,k3,  0.18,  0.18,  --    *   -------  |                   
 2,               kmeans-5,k3,  0.18,  0.19,  --    *   ------   |                   
#
 3,               kmeans-3,k1,  0.23,  0.26,  ---     *     -----|--                 
 3,               kmeans-5,k1,  0.24,  0.24,  ----    *    ------|---                
 3,               kmeans-1,k1,  0.24,  0.24,  ----    *     -----|--                 
